name_7696#0,"""無力亞|ムリーヤ"""
ssn_014530_0001#0,"""這下我釋懷了不少。<br>感覺我又有努力的動力了。"""
ssn_014530_0002#0,"""多謝你了啊！"""
ssn_014530_0101#0,"""恩？你問我那之後還好不好？"""
ssn_014530_0102#0,"""雖說總算是沒什麼問題了……可是，<br>還是有點小事讓我很困擾……"""
ssn_014530_0103#0,"""要是可以的話，我想再跟你談談。<br>你肯聽聽我說的嗎？"""
ssn_014530_0201#0,"""……欸？你問我為什麼在發抖？<br>沒、沒什麼，我只不過是在抖擻精神罷了！"""
ssn_014530_0202#0,"""走吧，去打倒兇惡型敵人！"""
ssn_014530_0301#0,"""好吧，我問得有點不是時候……<br>沒沒，我沒事我沒事。你不用在意的。"""
ssn_014530_0401#0,"""你這人果然好厲害啊。<br>我根本完全比不過你嘛。"""
ssn_014530_0402#0,"""不過，我好歹也是一名ARKS。<br>我會努力盡可能追上你的－－哪怕只是追上一點點！"""
