PartyJoin#0,"""/toge /ci2 1 ผมจะพยายามครับ!"""
IncidentJsApcBegin#0,"""/ci3 1 เพื่อผมแล้ว……<br>ขอโทษด้วยครับ! \u3000ฝากด้วยนะครับ!"""
IncidentJsApcFailure#0,"""……มะ ไม่ไหวแล้วครับ<br>ขอโทษครับ ผมขอถอยก่อน"""
IncidentJsApcSuccess#0,"""/ci2 1 จบแค่นี้ล่ะ!<br>เอ่อ ขอบคุณมากนะครับ!<br>รอดไปที!"""
IncidentJsApcBeginEvo#0,"""/ci3 1 /toge ……ระวังด้วยครับ<br>มีปฏิกิริยาขนาดใหญ่มาก<br>กำลังเข้าใกล้มาครับ!"""
AbilityExeRareU#0,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#0,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#0,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#0,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#0,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#1,"""/ci2 1 ถ้างั้น ฝากด้วยนะ"""
IncidentJsApcBegin#1,"""/ci2 2 โทษที ไม่อยากให้เธอ<br>ต้องมาเดือดร้อนด้วยเลย……!"""
IncidentJsApcFailure#1,"""……ทนกว่านี้ไม่ไหวแล้ว<br>ขอถอยก่อนล่ะ"""
IncidentJsApcSuccess#1,"""/ci2 1 ……รอดไปได้นะ<br>ขอบคุณนะ เป็นเพราะเธอเลย"""
IncidentJsApcBeginEvo#1,"""/ci5 2 ……ระวังตัวด้วย<br>ยังมีปฏิกิริยาขนาดใหญ่อยู่"""
AbilityExeRareU#1,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#1,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#1,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#1,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#1,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#2,"""/ci2 1 ฝะ ฝากเนื้อฝากตัวด้วยนะคะ!"""
IncidentJsApcBegin#2,"""/toge /ci4 1 ……อะ คุณนั่นเอง!<br>ชะ ช่วยด้วยค่ะ!<br>โดนศัตรูล้อมไว้หมดแล้ว……!"""
IncidentJsApcFailure#2,"""……ไม่ไหวแล้วค่ะ<br>ขอโทษนะคะ ขอถอยก่อนค่ะ"""
IncidentJsApcSuccess#2,"""/ci2 1 ขะ ขอบคุณมากนะคะ!<br>รอดไปทีค่ะ!<br>ขอบคุณจริงๆ ขอบคุณมากค่ะ!"""
IncidentJsApcBeginEvo#2,"""/moya /ci4 4 อะไรเนี่ย……<br>ปฏิกิริยาใหญ่มากเลย……!"""
AbilityExeRareU#2,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#2,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#2,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#2,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#2,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#3,"""/toge /ci2 1 ฝากด้วยนะ!"""
IncidentJsApcBegin#3,"""/ci2 3 /toge โอ๊ะ นายมาได้จังหวะพอดี!<br>ศัตรูมันเยอะไปหน่อย<br>ช่วยฉันทีสิ!"""
IncidentJsApcFailure#3,"""……อูย ปัดโธ่เว้ย!<br>โทษที ขอถอยก่อนล่ะ!"""
IncidentJsApcSuccess#3,"""/mn15 /ci2 1 โยชช่าๆ!<br>จบสักที!<br>ขอบใจที่ให้ความร่วมมือนะ!"""
IncidentJsApcBeginEvo#3,"""/ci5 2 เหวอ ปฏิกิริยาใหญ่เบ้อเริ่มนี่<br>ยังจะมีมาอีกเหรอเนี่ย!"""
AbilityExeRareU#3,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#3,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#3,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#3,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#3,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#4,"""/mn16 /ci2 1 ค่า ฝากด้วยนะ!"""
IncidentJsApcBegin#4,"""/mn17 /ci2 1 มาช่วยแล้วสินะ!<br>ขอบใจน้า รอดตัวไปที!"""
IncidentJsApcFailure#4,"""……อูย ฉันยังอ่อนหัดเกินไป<br>ขอโทษนะ ขอถอยก่อนล่ะ"""
IncidentJsApcSuccess#4,"""/ci2 2 เย้! \u3000รอดมาได้แล้ว!<br>เพราะคุณเลยนะเนี่ย! \u3000ขอบคุณมาก!"""
IncidentJsApcBeginEvo#4,"""/mn19 /ci2 1 เอ๊ะๆ เอ๋?<br>เหมือนจะมีปฏิกิริยาใหญ่ๆ<br>กำลังเข้ามาเลยนะ!"""
AbilityExeRareU#4,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#4,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBossRareW#4,"""(ชั่วคราว) บอสปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyRareRareW#4,"""(ชั่วคราว) ศัตรูแรร์ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
EnemyBoostRareW#4,"""(ชั่วคราว) Boost E ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
PartyJoin#5,"""/ci1 4 เอาล่ะ ฝากด้วยนะ"""
IncidentJsApcBegin#5,"""/ci1 2 โทษที ให้เธอ<br>คอยช่วยอยู่เรื่อยเลย"""
IncidentJsApcFailure#5,"""……ได้แค่นี้สินะ<br>ขอโทษด้วย ขอถอยก่อนล่ะ"""
IncidentJsApcSuccess#5,"""/ci2 5 ควบคุมพื้นที่……เสร็จสิ้น<br>เป็นเพราะเธอเลย ขอบใจมาก"""
IncidentJsApcBeginEvo#5,"""/ci3 2 ……อย่าประมาทล่ะ<br>ดูเหมือนตัวเป้งกำลังจะมานะ"""
AbilityExeRareU#5,"""(ชั่วคราว) เปิดใช้งานศักยภาพเมื่อสวมใส่ยูนิตแรร์"""
EnemyLargeRareW#5,"""(ชั่วคราว) ศัตรูขนาดใหญ่ปรากฏตัวเมื่อสวมใส่อาวุธแรร์"""
