name_7009#0,"""歐蘭潔|オランジェ"""
ssn_014050_0001#0,"""看來你作為一名ARKS，已經積累起很多經驗了呀。"""
ssn_014050_0002#0,"""其實我有件事情想要拜託一下你，<br>可否聽一下呢？"""
ssn_014050_0101#0,"""呵呵……<br>真開心你肯接受這請求。"""
ssn_014050_0102#0,"""其實最近，我在雷佐爾森林中偵測到了一種電波，<br>它有著此前從未出現過的波長。"""
ssn_014050_0103#0,"""而這電波，<br>似乎對周圍的DOLLS造成了某種影響。"""
ssn_014050_0104#0,"""雖然情報還不是很足，並不清楚詳細情況……<br>但能否請你幫忙調查一下呢？"""
ssn_014050_0105#0,"""我想讓你去尋找受到電波影響的DOLLS，並記錄一下交戰記錄。<br>這樣也許就能明白些什麼了。"""
ssn_014050_0106#0,"""那就拜託你了。"""
ssn_014050_0201#0,"""太可惜了……<br>你如果有興趣，還請再來找我哦。"""
ssn_014050_0301#0,"""雖然認真對待任務是好事，<br>但也不要太過勉強了。"""
ssn_014050_0302#0,"""要是出了什麼事，<br>還請將自身的安全放在第一位。"""
ssn_014050_0401#0,"""這畢竟是件非常危險的任務，所以請千萬用心準備。"""
ssn_014050_0402#0,"""那布魯達就拜託你了。<br>但願大家都能平安回來。"""
ssn_014050_0105_01#0,"""我想讓你去尋找受到電波影響的DOLLS，並記錄一下交戰記錄。<br>這樣也許就能明白些什麼了。"""
