name_7663#0,"""夏爾奇|シャルキ"""
ssn_011140_0010#0,"""……是新人啊。<br>你好像剛來這中央不久。"""
ssn_011140_0020#0,"""……等你多練練再來這裡吧。"""
ssn_011140_0030#0,"""……我等你很久了。<br>我是射擊職業的訓練教官，夏爾奇。"""
ssn_011140_0040#0,"""……你作為ARKS，<br>確實本領鍛煉得還不錯。"""
ssn_011140_0045#0,"""……你如果想學習戰鬥技術，我可以教你。<br>你想請教我哪個職業的戰鬥方式呢？"""
ssn_011140_0050#0,"""……這樣啊。<br>你要是改主意了，就再來找我吧。"""
ssn_011140_0060#0,"""……去努力訓練吧。"""
ssn_011140_0070#0,"""……想要進步，就只有這一個方法。"""
ssn_011140_0101#0,"""……怎麼樣？<br>看你這樣子，看來是得心應手起來了呀。"""
ssn_011140_0102#0,"""……戰鬥的要點，還是在於職業技能。<br>技能可以拓展戰鬥的門路。"""
ssn_011140_0103#0,"""……去積累實戰經驗吧。你會越來越進步的。"""
ssn_011140_0104#0,"""……我很期待。"""
