name_7224#0,"""希特蕾|シトレー"""
ssn_019060_001_0001#0,"""謝謝你肯過來。<br>我再自我介紹下吧。"""
ssn_019060_001_0002#0,"""我叫希特蕾。所屬於中央都市的補給隊，<br>現在負責物資管理，還有戰鬥支援之類的工作。"""
ssn_019060_001_0003#0,"""補給可是戰鬥的生命線！<br>不管是什麼地方，我們都能把物資送到手。"""
ssn_019060_001_0004#0,"""只不過，最近敵人的活動變得很活躍。<br>不僅是運輸任務，就連收集物資的工作都受到了阻礙。"""
ssn_019060_001_0005#0,"""所以，能不能拜託你去討伐一下敵人，<br>來幫我們維持住安全的補給線？"""
ssn_019060_001_0006#0,"""首先嘛……我想想啊，我想讓你去打倒一些<br>最近尤為活躍的，帶有季節標誌的敵人。"""
ssn_019060_001_0007#0,"""要是你肯出力，<br>我就送點好東西答謝你吧！"""
ssn_019060_001_0008#0,"""那加油哦－－！"""
ssn_019060_001_0101#0,"""補給可是戰鬥的生命線！<br>我們是不會屈服於敵人的阻撓的。"""
ssn_019060_001_0102#0,"""只不過，現在情況還是不容樂觀啊……"""
ssn_019060_001_0201#0,"""哦，你回來了呀。<br>對對對，就是這個！"""
ssn_019060_001_0202#0,"""多謝啦。<br>這樣一來，大家的餐桌上就又能多添幾道好菜了。"""
ssn_019060_001_0203#0,"""作為答謝，<br>我會把烹調過的花球什錦跟你交換，你也來嘗嘗看吧。"""
ssn_019060_001_0204#0,"""吃了它之後，也要加油做平常的任務喔！"""
ssn_019060_001_0205#0,"""……言歸正傳，我下一件想拜託你的事情，<br>是去打倒帶有季節標誌的增強型敵人。"""
ssn_019060_001_0206#0,"""因為運輸隊都不是什麼戰鬥的好手嘛，<br>所以要瞄準增強核可費勁了。"""
ssn_019060_001_0207#0,"""那就拜託啦。<br>要加油哦－－！"""
ssn_019060_001_0301#0,"""你回來啦！<br>沒受傷吧？"""
ssn_019060_001_0302#0,"""真是太感謝了。<br>謝謝你幫忙。"""
ssn_019060_001_0303#0,"""多虧了你，運輸工作現在輕鬆了不少。<br>這下子，我們就能把物資送到任何地方了。"""
ssn_019060_001_0304#0,"""所以呢！我想送你個特別的道具，<br>作為你幫了這麼多忙的謝禮。"""
ssn_019060_001_0305#0,"""要是你還有什麼需要的，<br>你隨時跟我講，我這兒準備了好多呢。"""
ssn_019060_001_0306#0,"""要是之後敵人又多起來了，<br>你可要把它們都給幹翻哦！"""
ssn_019060_001_0401#0,"""你回來啦！<br>那我就說下詳細情況吧。"""
ssn_019060_001_0402#0,"""其實是正在偵查的ARKS那邊，<br>發來了西艾亞利奧有帶標誌的敵人聚集的報告。"""
ssn_019060_001_0403#0,"""戰鬥團那邊好像正在準備實時掃蕩作戰呢。<br>我看到你這大顯身手的樣子，就想著能不能拜託你來幫幫忙。"""
ssn_019060_001_0404#0,"""在作戰開始前似乎是會有廣播的，<br>在那之前你就把準備做做好吧。"""
ssn_019060_001_0405#0,"""啊，對了對了。聽說還會有與平常的樣子<br>不一樣的敵人混雜在裡面，可得千萬小心哦。"""
ssn_019060_001_0406#0,"""那就拜託你啦。<br>加油哦！"""
npc_menu_0001#0,"""使用季節點數交換（2022年4月6日11時00分為止）"""
npc_menu_0002#0,"""使用季節採集素材交換（2022年4月6日11時00分為止）"""
npc_menu_0003#0,"""詢問關於季節活動的信息"""
npc_menu_0004#0,"""關閉菜單"""
npc_menu_0005#0,"""關於“季節活動”"""
npc_menu_0006#0,"""關於“季節活動角色”"""
npc_menu_0007#0,"""關於“每日／每週委託”"""
npc_menu_0008#0,"""關於“搗蛋標誌”"""
npc_menu_0009#0,"""關於“季節採集”"""
npc_menu_0010#0,"""關於“季節地區瑪古”"""
npc_menu_0011#0,"""關於“季節型敵人”"""
npc_menu_0012#0,"""關於“世界試煉”"""
npc_menu_0013#0,"""關於“期間限定任務”"""
npc_menu_0014#0,"""關於“期限限定特殊轉蛋”"""
npc_menu_0015#0,"""關於“期間限定委託的追加”"""
npc_menu_0016#0,"""沒有想問的"""
