ssn_013220_0001#0,"""雖然這守門的工作我也挺喜歡的，<br>但我還是想多和敵人打一打啊……"""
ssn_013220_0002#0,"""用這長槍刺穿它們時的那個手感……<br>我簡直愛到不行……"""
ssn_013220_0101#0,"""我說你，是想要變得更強對不對……？"""
ssn_013220_0102#0,"""而我呢，正好對這樣的你有個請求，<br>可不可以聽聽呀？"""
ssn_013220_0201#0,"""就如你所見，<br>我們這些門衛是離不開工作崗位的……"""
ssn_013220_0202#0,"""而我呢，想讓你代替這樣的我，去打倒一些敵人。<br>這地點嘛……不如就在范福德研究所如何……？"""
ssn_013220_0203#0,"""那邊難對付的敵人還挺多，所以是最適合積累經驗的……<br>ARKS可是會越戰越勇、越打越強的啊……"""
ssn_013220_0204#0,"""你就盡情去驅逐敵人吧……"""
ssn_013220_0301#0,"""看來你驅逐掉了挺多敵人的嘛……<br>本領是不是又提升了呀……？"""
ssn_013220_0302#0,"""總覺得，看著你戰鬥的樣子，<br>我都按捺不住了呢……"""
ssn_013220_0401#0,"""這樣啊……<br>你要是改主意了，還希望你能再來找我……"""
