name_7717#0,"""比巴利|ビバリー"""
ssn_014620_0001#0,"""我有個老是喜歡爬房簷的朋友。<br>說是上面景致不錯。"""
ssn_014620_0002#0,"""雖說從入口反面那裡好像能爬得上去，<br>不過讓我來還是免了吧。"""
ssn_014620_0003#0,"""你問為什麼……<br>……那當然是因為我害怕啊！"""
ssn_014620_0101#0,"""我說，從這兒往東北方向走，不是有個挺大的建築物嘛？<br>就頂上尖尖的那個。"""
ssn_014620_0102#0,"""你知道那是什麼不？"""
ssn_014620_0103#0,"""它呀，其實一種是叫作“聖三一塔”的<br>特別的訓練設施。"""
ssn_014620_0104#0,"""你要不要去那兒試試手？<br>不過，你要只是打算去隨便玩玩，我倒是不推薦你去。"""
ssn_014620_0201#0,"""欸？你問我們不去聖三一塔嗎？"""
ssn_014620_0202#0,"""不去不去，還是免了吧。"""
ssn_014620_0203#0,"""你問為什麼……<br>……那當然是因為我害怕啊！"""
ssn_014620_0301#0,"""啊？你不去啊？<br>那就等你有時間了再說吧。"""
ssn_014620_0401#0,"""哦－－！不愧是你啊。<br>簡直帥呆了－－！"""
ssn_014620_0402#0,"""我們可得學學你，多加把勁才行。<br>我也想有朝一日，能在那裡進行訓練。"""
ssn_014620_0501#0,"""……欸，等等？原來你已經去過聖三一塔了啊。<br>什麼嘛，你早點說啊倒是。"""
ssn_016420_0601#0,"""不過，不愧是你啊－－。<br>我們可得學學你，多加把勁才行。"""
ssn_014620_0602#0,"""我也想有朝一日，能在那裡進行訓練。"""
