name_7664#0,"""霍尼安|ホーニャン"""
ssn_011171_0010#0,"""呵呵呵，還是挺用心的嘛。"""
ssn_011171_0020#0,"""……欸，不過你的職業不是元素使哦？"""
ssn_011171_0030#0,"""你要是想讓我教你戰鬥方式，就去“職業櫃檯”，<br>把職業換成元素使吧。"""
ssn_011171_0040#0,"""還有，也別忘了好好學習<br>元素使的“職業技能”哦。"""
ssn_011171_0050#0,"""不過嘛，就先簡單跟你介紹一下吧。"""
ssn_011171_0060#0,"""元素使是擅長於輔助友方的職業。"""
ssn_011171_0070#0,"""元素使的技能嘛，<br>也有很多是提升友方攻擊力或者防禦力的。"""
ssn_011171_0080#0,"""可以說，它是個一邊作戰一邊進行輔助，<br>從而給友方作出巨大貢獻的職業哦。"""
ssn_011171_0090#0,"""我想想……初學者的話，<br>可能還是先習慣一下“攻擊・防禦結界”比較好。"""
ssn_011171_0100#0,"""我給你出些訓練的課題。你去做做試一試吧。"""
