name_7691#0,"""烏弗|ウーフー"""
ssn_014640_0001#0,"""最近這段時間，有些沒見過的敵人出沒。"""
ssn_014640_0002#0,"""這實在是有點難應付啊。<br>到底要怎麼辦才好……"""
ssn_014640_0101#0,"""是你啊……"""
ssn_014640_0102#0,"""你來得正好。<br>能不能拜託你件事？"""
ssn_014640_0201#0,"""看來你到了。<br>應該就是那附近了。"""
ssn_014640_0202#0,"""那就拜託了。"""
ssn_014640_0301#0,"""好吧，那等你改主意了再來找我吧。"""
ssn_014640_0401#0,"""戰鬥拖得越長，也只會更難應付。<br>所以得先把調衡型敵人給幹掉。"""
ssn_014640_0402#0,"""那就等你的好消息了。"""
ssn_014640_0501#0,"""幹得漂亮。<br>拜託你真是拜託對了。"""
ssn_014640_0502#0,"""有你這樣的ARKS在，真是太可靠了。<br>以後要是又有什麼事，就再拜託你了。"""
ssn_014640_0601#0,"""有你這樣的ARKS在，真是太可靠了。"""
ssn_014640_0602#0,"""以後要是又有什麼事，就再拜託你了。"""
