name_7718#0,"""沃拉斯|ウォーラス"""
ssn_014500_0001#0,"""你發來的圖像數據，<br>我都會好好保存的。"""
ssn_014500_0002#0,"""謝謝你，看到這些景色我很開心。<br>那你要多保重啊。"""
ssn_014500_0101#0,"""唔，你來了啊。"""
ssn_014500_0102#0,"""多虧了你，我們才得以擊退了黎泰姆游沙蟒……<br>但恐怕DOLLS的襲擊，今後也還會一直持續下去。"""
ssn_014500_0103#0,"""托了這個的福，<br>我也還是不能離開這地方。"""
ssn_014500_0104#0,"""所以，我有件事想拜託你。"""
ssn_014500_0201#0,"""我想看看靈座頂頂部的景色。"""
ssn_014500_0202#0,"""不過，靈座頂那邊多半還是有DOLLS在徘徊的。<br>一定要千萬小心啊。"""
ssn_014500_0301#0,"""接下來你就前往聖三一塔吧。"""
ssn_014500_0302#0,"""不過倒也不用著急。<br>等你有空的時候去一去就行。"""
ssn_014500_0401#0,"""唔，那沒辦法了。<br>你就之後再來吧。"""
ssn_014500_0501#0,"""恩，謝謝你發的這些圖像數據。<br>不好意思啊，總是使喚你到處跑來跑去的。"""
ssn_014500_0502#0,"""等哪天可得讓我好好謝一謝你。<br>那你要多保重啊。"""
