ProgressCount#0,"""$(0)/$(1)"""
ProgressCountNoDenominator#0,"""$(0)"""
ProgressValue#0,"""×$(0)"""
TrialSuccessMsg#0,"""ไทรอัล '$(0)'<br>สำเร็จแล้ว!"""
TrialFailureMsg#0,"""ไทรอัล '$(0)' ล้มเหลว"""
TrialCancelMsg#0,"""ยกเลิกไทรอัล '$(0)' แล้ว"""
TrialFinishMsg#0,"""เคลียร์ไทรอัล<br>'$(0)' แล้ว"""
TrialSuccessQuestBuff_GrowUp#0,"""＊รางวัล: $(0)"""
RewardTextClear#0,"""เคลียร์ไทรอัล: '$(0)'"""
RewardTextRew#0,"""รางวัล"""
RewardTextMeseta#0,"""<pict reb_meseta>$(0)"""
RewardTextSeasonPoint#0,"""<pict event_point>$(0)"""
RewardTextGP#0,"""<pict myspace_point>$(0)GP"""
RewardTextItemNameNum#0,"""$(0) x$(1)"""
RewardTextItemName#0,"""$(0)"""
ProgBodyEnemyName#0,"""$(0)"""
ProgDefenceWave#0,"""เวฟ:"""
ProgNumPlayerDied#0,"""จำนวนผู้หมดสภาพ"""
ProgWaveGoal#0,"""＊＊เป้าหมายเวฟ"""
ProgTrialGoal#0,"""＊＊เป้าหมายไทรอัล"""
ProgNumSubCondition#0,"""เควสต์เสริม"""
ProgSideTrialTitle#0,"""เควสต์พิเศษ"""
ProgSideTrialAbstract#0,"""$(0)"""
ProgSub_DontDie#0,"""เคลียร์โดยไม่มีผู้หมดสภาพเลย"""
ProgSub_NumPlayerDied#0,"""เคลียร์โดยมีผู้หมดสภาพน้อยกว่า $(0) ครั้ง"""
ProgSub_NumPlayerDamage#0,"""เคลียร์โดยได้รับความเสียหายน้อยกว่า $(0)"""
ProgSub_NoPlayerDamage#0,"""เคลียร์โดยไม่ได้รับความเสียหายเลย"""
ProgSub_NumEnemyRegionBreak#0,"""เคลียร์หลังจากทำลายชิ้นส่วนศัตรู $(0) ชิ้นขึ้นไป"""
ProgSub_TimeLimitSecond#0,"""เคลียร์ไทรอัลโดยเหลือเวลา $(0) วินาทีขึ้นไป"""
ProgSub_HpPercent___Defence#0,"""เคลียร์โดยเหลือความทนทานของรถบรรทุก $(0)% ขึ้นไป"""
ProgSub_NumCreate___Generator#0,"""เคลียร์โดยมีศัตรูถูกเคลื่อนย้ายเข้ามาไม่เกิน $(0) ตัว"""
Prog_BossWeakCon_TrialPoint#0,"""กำจัด <yellow>ศัตรูตัวใดก็ได้<c> เพื่อเริ่มไทรอัล"""
Prog_BossWeakCon_PlayTrial#0,"""กำจัด <yellow>ศัตรูตัวใดก็ได้<c> เพื่อเริ่มไทรอัล"""
Prog_BossWeakCon_Next#0,"""จนกว่าจะเริ่มไทรอัล"""
FLineMsg_TimeOver#0,"""ไทรอัลล้มเหลว<br>หมดเวลา!"""
FLineMsg_DefenceTarget_Dead#0,"""ไทรอัลล้มเหลว<br>เป้าหมายได้รับความเสียหายมากเกินไป!"""
FLineMsg_NumPlayerDied#0,"""จำนวนผู้หมดสภาพถึงขีดจำกัดแล้ว!"""
MJournal_HostName#0,"""ผู้เล่นโฮสต์"""
MJournal_PlayerNum#0,"""จำนวนผู้เล่น"""
MJournal_RemainDecide#0,"""เวลาที่เหลือก่อนเริ่มแข่ง:"""
MJournal_RemainBoot#0,"""＊เวลาที่เหลือก่อนเริ่ม"""
MSelectTitle#0,"""เลือกสนามแข่ง"""
MButtonGuide_HostMenu#0,"""กดปุ่มค้างเพื่อเปลี่ยนสถานะการจับคู่"""
MButtonGuide_HostMenuTail#0,"""สนามแข่ง: $(0)"""
MButtonGuide_HostTitle#0,"""$(0)"""
MButtonGuide_HostMessage#0,"""ต้องการเริ่ม $(0) เลยหรือไม่?"""
MButtonGuide_HostYes#0,"""เริ่ม"""
MButtonGuide_HostNo#0,"""หยุดการจับคู่"""
MButtonGuide_MemberMenu#0,"""กดปุ่มค้างเพื่อเปลี่ยนสถานะการจับคู่"""
MButtonGuide_MemberMenuTail#0,"""สนามแข่ง: $(0)"""
MButtonGuide_MemberTitle#0,"""$(0)"""
MButtonGuide_MemberMessage#0,"""ยกเลิกการเข้าร่วม Field Race นี้หรือไม่?"""
MButtonGuide_MemberYes#0,"""ใช่"""
MButtonGuide_MemberNo#0,"""ไม่"""
