name_7662#0,"""丹托雷|ダントレイ"""
ssn_011120_0010#0,"""新面孔啊！<br>……唔，看來你還真是初來乍到啊。"""
ssn_011120_0020#0,"""你去練練再來吧！"""
ssn_011120_0030#0,"""你來了啊！<br>我是打擊職業的訓練教官，丹托雷！"""
ssn_011120_0040#0,"""唔恩，從你這架勢就看得出來。<br>你這本領磨練得還挺扎實的！"""
ssn_011120_0045#0,"""你要是想學習戰鬥技術的話，我可以略指點你一二。<br>說吧，你想學哪個職業的戰鬥方式啊？"""
ssn_011120_0050#0,"""這樣啊……<br>要是想成為獨當一面之人了，記得再來啊！"""
ssn_011120_0060#0,"""可別懈怠了訓練！"""
ssn_011120_0070#0,"""你可要好好積累經驗，<br>早點成為獨當一面的ARKS啊！"""
ssn_011120_0101#0,"""如何，稍微進步了點沒啊？"""
ssn_011120_0102#0,"""我想你經過了訓練，應該也知道了，<br>職業技能還是很重要的。"""
ssn_011120_0103#0,"""這技能，光是學了不用，也只是白搭。<br>記得要熟練運用它們啊！"""
