name_7695#0,"""茨卡諾|ツカーノ"""
ssn_014480_0001#0,"""太好了，地區瑪古都沒有損壞。"""
ssn_014480_0002#0,"""在黎泰姆還有其他的地區麻古。<br>等有時間的時候，就請去找找看吧。"""
ssn_014480_0101#0,"""不過話說回來，既然你的能力這麼強，<br>感覺去通關一下繭，應該也不在話下呢。"""
ssn_014480_0102#0,"""這黎泰姆的ARKS呀，都把通關繭<br>當成了證明能力的指標之一。"""
ssn_014480_0103#0,"""如何呀，你要不要也去挑戰看看？"""
ssn_014480_0201#0,"""要想制霸所有的繭，可不是那麼容易的。<br>據我所知，也只有寥寥數人曾經做到過……"""
ssn_014480_0202#0,"""不過如果是你，也許還真能做得到。<br>就請讓我見識下你的力量吧。"""
ssn_014480_0301#0,"""好吧，戰士也有需要休息的時候。<br>等你想挑戰了，就再來跟我打聲招呼吧。"""
ssn_014480_0401#0,"""不愧是被哈迪看好的ARKS……"""
ssn_014480_0402#0,"""有你這樣的ARKS的加持作戰，真的是太可靠了。<br>今後也請多關照。"""
ssn_014480_1001#0,"""你來得正好。"""
ssn_014480_1002#0,"""最近“穹頂”中的殘黨餘孽，<br>似乎又蠢蠢欲動起來了……"""
ssn_014480_1003#0,"""雖說是擊退了黎泰姆游沙蟒，<br>可也並不意味著我們徹底擺脫了DOLLS的威脅。"""
ssn_014480_1004#0,"""災禍的萌芽，還是得扼殺在繈褓之中才是。<br>能不能拜託你再借一臂之力呢？"""
ssn_014480_1101#0,"""那麼就請加入到討伐DOLLS的任務當中去吧。<br>其他的ARKS也正在前往穹頂。"""
ssn_014480_1102#0,"""拜託了。"""
ssn_014480_1201#0,"""好吧，戰士也有需要休息的時候。<br>等你想挑戰了，就再來跟我打聲招呼吧。"""
ssn_014480_1301#0,"""不愧是你呀。<br>我真是一直都在驚訝於你的身手……"""
ssn_014480_1302#0,"""我們黎泰姆的ARKS們也是不會輸的。<br>今後，就請我們兩方共同努力吧。"""
