name_7211#0,"""香蒂|シャンディー"""
ssn_019020_002_0001#0,"""謝謝你能過來。<br>我再做個自我介紹吧。"""
ssn_019020_002_0002#0,"""我叫香蒂。我正在研究<br>發生在哈爾法上的各種特異現象。"""
ssn_019020_002_0003#0,"""我之所以把你叫過來，<br>是因為想拜託你來幫忙調查一下這些現象。"""
ssn_019020_002_0004#0,"""謝謝你能過來。"""
ssn_019020_002_0005#0,"""其實這次，我也想讓你<br>幫忙調查一下……"""
ssn_019020_002_0101#0,"""你知道地區瑪古嗎？<br>其實，每到這個時期，它的外表上就會出現變化。"""
ssn_019020_002_0102#0,"""而且，還有一些只能在這個時期<br>採集到的素材……"""
ssn_019020_002_0103#0,"""我想調查看看，若是把它投餵給現在的地區瑪古，<br>會有什麼樣的效果。"""
ssn_019020_002_0104#0,"""首先嘛，能拜託你<br>收集一下這採集素材嗎？"""
ssn_019020_002_0105#0,"""我們有給協助者準備特別的報酬。"""
ssn_019020_002_0106#0,"""那就拜託你咯。"""
ssn_019020_002_0006#0,"""歡迎回來！<br>多虧了你，我收集到了不錯的數據。"""
ssn_019020_002_0007#0,"""雖然地區瑪古仍謎團重重，<br>但我想這次的數據，應該會對解開這謎團派上用場。"""
ssn_019020_002_0008#0,"""好像其他的研究員們，<br>也對你的大顯身手產生了興趣呢。"""
ssn_019020_002_0009#0,"""下次我也把他們介紹給你哦！"""
ssn_019020_002_0010#0,"""這次就多謝啦。"""
ssn_019020_002_0011#0,"""而至於報酬，可以通過已經交給你的點數進行交換，<br>有什麼需要的，都可以告訴我。"""
ssn_019020_002_0012#0,"""若是你今後也能協助我們做各種調查、研究<br>那我就再開心不過啦。"""
ssn_019020_002_0013#0,"""之後也拜託你啦。"""
ssn_019020_002_0014#0,"""我們正在專注於調查<br>這個時期敵人的變化。"""
ssn_019020_002_0015#0,"""無論是怎樣細微的數據都可以，<br>只要可以提供給我們，就再好不過了。"""
npc_menu_0001#0,"""接受委託"""
npc_menu_0002#0,"""使用季節點數交換道具"""
npc_menu_0003#0,"""詢問關於季節活動的信息"""
npc_menu_0004#0,"""關閉菜單"""
npc_menu_0005#0,"""關於“季節活動”"""
npc_menu_0006#0,"""關於“季節型敵人”"""
npc_menu_0007#0,"""關於“季節活動角色”"""
npc_menu_0008#0,"""關於“每日／每週委託”"""
npc_menu_0009#0,"""關於“搗蛋標誌”"""
npc_menu_0010#0,"""關於“季節採集”"""
npc_menu_0011#0,"""關於“季節地區瑪古”"""
npc_menu_0012#0,"""沒有想問的"""
