TrialName_1Enemy#0,"""$(0) Subjugation"""
TrialBeginMsg_1Enemy#0,"""Defeat the $(0)!"""
TrialAbstract_1Enemy#0,"""Defeat the $(0)"""
TrialName_Multi#0,"""Enemy Subjugation"""
TrialBeginMsg_Multi#0,"""Defeat all enemies that appear!"""
TrialAbstract_Multi#0,"""Defeat the enemies"""
NpcComGod2ManonAndAina02#0,"""/voicessc_012040_0020 どうやらお互い別の合流地点にいるようね。"""
NpcComGod2ManonAndAina01#0,"""/voicessc_012040_0010 キミ、今どのあたりにいる？"""
NpcComGod2ManonAndAina03#0,"""/voicessc_012040_0030 今からこっちの座標を送るから、合流しよう……。"""
NpcComGod2RanBossAppear01#0,"""/voicessc_012040_0040 空間上に、高エネルギー反応。強力なエネミーが来ます！"""
NpcComGod2RanBossAppear02#0,"""/voicessc_012040_0050 ……ダークファルスの出現を確認。"""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ……員……、ますか!?\u3000……なら返事……さい！\u3000……が……のか……を！"""
NpcComGod2RanLaterHalf01#0,"""/voicessc_012060_0010 通信、回復しました！<br>バイタル確認。そちらの様子もモニターできています。"""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 これは……、出現時よりダークファルスが弱体化しています！<br>攻撃を続けてください！"""
NpcComGod2RanBrokenAllParts01#0,"""/voicessc_012060_0070 ダークファルス、さらに弱体化。行けます！"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 セントラルキャノンの発射準備、最終段階に移行。<br>もう少しだけ……頑張ってください！"""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 キャノンの発射までは、もう少し時間がかかる。<br>みんな、足止めを頼む……。"""
