name_7717#0,"""比巴利|ビバリー"""
ssn_014630_0001#0,"""我說我說！<br>我想跟你說點事。"""
ssn_014630_0002#0,"""你現在有時間吧？"""
ssn_014630_0201#0,"""我覺得如果是你，<br>沒準就能通關聖三一塔了。"""
ssn_014630_0202#0,"""我們也會支持你的！<br>可得給我們展示下你帥氣的身手啊！"""
ssn_014630_0203#0,"""啊，好吧……<br>那就等你有興趣了再來找我吧。"""
ssn_014630_0301#0,"""哦哦－－！你成功了啊！<br>你這人果然有夠厲害啊。我真心佩服你。"""
ssn_014630_0302#0,"""好嘞！我們也得多加把勁了。<br>多少也得拉近點和你的距離。"""
ssn_014630_0401#0,"""…欸，等等？原來你已經通關了啊？<br>什麼嘛，你早點說啊倒是。"""
ssn_014630_0402#0,"""不過，你這人果然有夠厲害啊。<br>我真心佩服你。"""
ssn_014630_0403#0,"""好嘞！我們也得多加把勁了。<br>多少也得拉近點和你的距離。"""
ssn_014630_0501#0,"""你這人果然有夠厲害啊。<br>我真心佩服你。"""
ssn_014630_0502#0,"""好嘞！我們也得多加把勁了。<br>多少也得拉近點和你的距離。"""
