name_7418#0,"""貝爾克曼|ベルクマン"""
ssn_013090_0001#0,"""哦，是你啊。<br>你最近如何啊？"""
ssn_013090_0002#0,"""我有在好好珍惜<br>前段時間的那些數據哦。"""
ssn_013090_0101#0,"""喲。<br>你現在有時間嗎？"""
ssn_013090_0102#0,"""我想著，要是能再拜託你一下就好了。"""
ssn_013090_0201#0,"""這樣啊……<br>你要是有時間的話，就來找找我吧。"""
ssn_013090_0301#0,"""看過了山，也看過了海，<br>我就想啊，這接下來要看看什麼。"""
ssn_013090_0302#0,"""然後我就想到，<br>這附近好像有個濕原。"""
ssn_013090_0303#0,"""雖然那邊看著很是寧靜舒適，可要是戰鬥起來，是要沒到水裡的，<br>說實話我沒什麼太好的回憶……"""
ssn_013090_0304#0,"""不過有段時間沒去，<br>倒也覺得懷念起來了。"""
ssn_013090_0305#0,"""能像往常一樣，再發數據點給我嗎？"""
ssn_013090_0306#0,"""這事你抽空辦了就行。<br>那就拜託你啦。"""
