name_7714#0,"""古拉特|グラート"""
ssn_014370_0001#0,"""哦！<br>我看你好像還挺能幹的嘛。"""
ssn_014370_0002#0,"""我有點事兒想讓你幫幫忙。<br>當然了，我也是會給你謝禮的！"""
ssn_014370_0101#0,"""哦，這樣啊……<br>那就等你想幫忙了再來找我吧。"""
ssn_014370_0201#0,"""哦！<br>你這是把礦石帶來了？"""
ssn_014370_0301#0,"""遞交5個壹型赤岩"""
ssn_014370_0302#0,"""放棄"""
ssn_014370_0401#0,"""我都收到了。<br>謝了哈！"""
ssn_014370_0402#0,"""呃，好像有點不太夠啊……<br>能不能再去多採點兒？"""
ssn_014370_0403#0,"""哦，這樣啊。<br>我隨時都等著你！"""
ssn_014370_0501#0,"""哎呀，真是幫大忙了啊你－－！<br>有這麼多肯定夠了。"""
ssn_014370_0502#0,"""……對了，這可不能忘哈！<br>這是謝禮，你就收下吧。"""
ssn_014370_0503#0,"""它肯定能幫上忙的。<br>你就別客氣，拿去隨便用吧。"""
ssn_014370_0504#0,"""還有，你要是有什麼困難就儘管說。<br>我隨時都能給你出出建議。"""
ssn_014370_1001#0,"""哦，你來得正好！"""
ssn_014370_1002#0,"""我又有事想讓你幫幫忙。<br>能拜託下你嗎？"""
ssn_014370_1101#0,"""哦，這樣啊……<br>那就等你想幫忙了再來找我吧。"""
ssn_014370_1201#0,"""哦？原來你已經有帶著了啊？"""
ssn_014370_1301#0,"""遞交5個貳型紫晶"""
ssn_014370_1302#0,"""放棄"""
ssn_014370_1401#0,"""我都收到了。<br>謝了哈！"""
ssn_014370_1402#0,"""呃，好像有點不太夠啊……<br>能不能再去多採點兒？"""
ssn_014370_1403#0,"""哦，這樣啊。<br>我隨時都等著你！"""
ssn_014370_1501#0,"""很好，狀態也沒問題！<br>這樣就萬事俱備，可以鍛造武器了。"""
ssn_014370_1502#0,"""哎呀，真是幫大忙了啊你－－！<br>拜託你真是拜託對了。"""
ssn_014370_1503#0,"""對了，還得再給你一份謝禮才行。<br>你就收下這個吧。"""
ssn_014370_1504#0,"""之後可能還會再拜託你些什麼。<br>到時候就要再麻煩你啦！"""
ssn_014370_2001#0,"""你來了啊！"""
ssn_014370_2002#0,"""我又想讓你幫忙去採集一下礦石。<br>這次方便不？"""
ssn_014370_2101#0,"""哦，這樣啊……<br>那就等你想幫忙了再來找我吧。"""
ssn_014370_2201#0,"""哦？原來你已經有帶著了啊？"""
ssn_014370_2301#0,"""遞交5個叁型隕鐵"""
ssn_014370_2302#0,"""放棄"""
ssn_014370_2401#0,"""我都收到了。<br>謝了哈！"""
ssn_014370_2402#0,"""呃，好像有點不太夠啊……<br>能不能再去多採點兒？"""
ssn_014370_2403#0,"""哦，這樣啊。<br>我隨時都等著你！"""
ssn_014370_2501#0,"""好了，這下就能開始工作了。<br>感覺能把武器鍛造得不錯！"""
ssn_014370_2502#0,"""哎呀，真是一直都在受你的幫助啊。<br>真是太感謝太感謝啦！"""
ssn_014370_2503#0,"""對了對了，趁還沒忘我先把謝禮給你。<br>別多客氣，就收下吧。"""
ssn_014370_2504#0,"""不過這話說回來啊，<br>你這傢伙還真挺能幹的嘛……"""
ssn_014370_2505#0,"""有你這樣的ARKS在真是太可靠了。<br>今後也多互相關照啊！"""
ssn_014370_2601#0,"""不過這話說回來啊，<br>你這傢伙還真挺能幹的嘛……"""
ssn_014370_2602#0,"""有你這樣的ARKS在真是太可靠了。<br>今後也多互相關照啊！"""
