name_7418#0,"""斯洛娜|スローナ"""
ssn_012010_0001#0,"""歡迎來到中央。"""
ssn_012010_0002#0,"""這裡居住著非常多的ARKS。<br>當然了，也有很多“渡星者”。"""
ssn_012010_0003#0,"""都市裡也有著各種各樣的設施設備，還請多多參觀哦。"""
ssn_012010_0101#0,"""布魯達已經告訴過我了。<br>我已經等你有一會兒了。"""
ssn_012010_0102#0,"""那我就說一說我知道的知識哦。"""
ssn_012010_0103#0,"""對於“地區瑪古”……<br>你有所了解嗎？"""
ssn_012010_0104#0,"""那我就說明一下吧。"""
ssn_012010_0105#0,"""我們會把設置在各地的，有著巨大瑪古外形的裝置，<br>稱作地區瑪古。"""
ssn_012010_0106#0,"""據說，若是向地區瑪古中投入道具，<br>就會發生“好事”。"""
ssn_012010_0107#0,"""要是發現了地區瑪古，還請一定去試一試哦。"""
ssn_012010_0201#0,"""……這樣啊。那下次有機會再說吧。"""
