ssn_013200_0001#0,"""有沒有享受採集的樂趣啊？"""
ssn_013200_0002#0,"""在都市外，應該能發現各種採集素材。<br>包括蔬菜、水果、礦石，還有親馴種身上的肉之類的。"""
ssn_013200_0003#0,"""這些食材與素材，都是會對作戰起到幫助的。<br>所以要是發現了，記得去收集一下啊！"""
ssn_013200_0101#0,"""一直在等你呢。"""
ssn_013200_0102#0,"""是不是想再了解一些關於礦石的知識啊？"""
ssn_013200_0201#0,"""光子石英，是閃著水色光輝的尖角礦石。<br>而叁型隕鐵，是帶有美麗的同心圓條紋的礦石。"""
ssn_013200_0202#0,"""這些礦石，也同樣可以用於武器的鍛造上。"""
ssn_013200_0203#0,"""……不過我自己，倒是很想把如此造型美觀之物，<br>用於觀賞用途的就是了……"""
ssn_013200_0204#0,"""順便告訴你，這光子石英，<br>在製作複合武器時尤其需要。"""
ssn_013200_0205#0,"""這些礦石呢，在北艾亞利奧就能採到。<br>那跟之前一樣，你就去找找吧！"""
ssn_013200_0301#0,"""唔，這樣啊…<br>這還真是可惜。"""
ssn_013200_0302#0,"""要是你想學習礦石的知識了，<br>隨時都可以來找我。"""
