TrialName_1Enemy#0,"""กำจัด $(0)"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ $(0)"""
TrialName_Multi#0,"""กำจัดศัตรูที่ประสานพลังกัน"""
TrialBeginMsg_Multi#0,"""จัดการศัตรูทั้งสองตัวพร้อมกัน!"""
TrialAbstract_Multi#0,"""จัดการศัตรูทั้งสองตัวพร้อมกัน"""
NpcComOnForetaste#0,"""＊＊相互蘇生トライアル予兆"""
NpcComOnBegin#0,"""ตรวจพบสัญญาณศัตรูหลายตัว!<br>ศัตรูเหล่านี้ดูเหมือนจะประสานพลังกันอยู่ ระวังตัวด้วย"""
NpcComOnBegin1#0,"""ตรวจพบสัญญาณศัตรูหลายตัว!<br>ศัตรูเหล่านี้ดูเหมือนจะประสานพลังกันอยู่ ระวังตัวด้วย"""
NpcComOnSuccess#0,"""จัดการศัตรูทั้งหมดได้แล้ว! ทำได้ดีมาก!"""
NpcComOnSuccess1#0,"""จัดการศัตรูทั้งหมดได้แล้ว! ทำได้ดีมาก!"""
NpcComOnFailure#0,"""แย่ล่ะ... ศัตรูล่าถอยไปแล้ว<br>ต้องเดินหน้าไปเป้าหมายต่อไปแล้วล่ะ"""
NpcComOnFailure1#0,"""แย่ล่ะ... ศัตรูล่าถอยไปแล้ว<br>ต้องเดินหน้าไปเป้าหมายต่อไปแล้วล่ะ"""
NpcComOnDown#0,"""ศัตรูตัวหนึ่งหมดสภาพแล้ว! มุ่งเน้นการโจมตีไปที่อีกตัวนึงเลย!"""
NpcComOnResurrect#0,"""ศัตรูตัวหนึ่งกลับมาเข้าร่วมการต่อสู้แล้ว! ระวังการโจมตีของมันด้วย!"""
