ShopMenuHeader1#0,"""ชื่อบัฟ"""
ShopMenuHeader2#0,"""ระยะเวลาแสดงผล"""
ShopMenuHeader3#0,"""Point ที่ต้องการ"""
ShopMenu1#0,"""เพิ่มความเร็วการเคลื่อนที่"""
ShopMenu2#0,"""เพิ่มปริมาณการฟื้นฟู PP"""
ShopMenu3#0,"""เพิ่มการสะสมเกจ Photon Blast"""
ShopMenu4#0,"""เพิ่มการฟื้นฟู M.A.R.S. Battery ตามธรรมชาติ"""
ShopMenu5#0,"""อัตรา Rare Drop +25%"""
ShopMenu6#0,"""ดาเมจเพิ่มเติมเมื่อโจมตี Ruinous"""
ShopMenu7#0,"""ดาเมจเพิ่มเติมเมื่อโจมตี Alters"""
ShopMenu8#0,"""ดาเมจเพิ่มเติมเมื่อโจมตี DOLLS"""
ShopMenu9#0,"""ดาเมจเพิ่มเติมเมื่อโจมตี Starless"""
ShopMenu10#0,"""ใช้งาน Mobile Cannon ALR"""
PointRepayment#0,"""Exploration Point บางส่วนถูกคืนกลับมาแล้ว"""
NpcComOnPointLuckedUp#0,"""/voice11_voice_navi004_trial_0001_038 ดูเหมือนว่า Exploration Point จะสะสมอยู่พอสมควรแล้วนะคะ<br>สามารถเสริมความสามารถได้จาก Boost Device ที่อยู่บนฟิลด์ค่ะ"""
