TrialName#0,"""กระตุ้น Cold Photon"""
TrialBeginMsg#0,"""ใช้สภาพแวดล้อมพิเศษนี้เพื่อกำจัดศัตรู!"""
TrialAbstract#0,"""ใช้ Cold Photon เพื่อกำจัดศัตรู"""
Wave1Msg#0,"""ระลอกแรกกำลังมา!"""
Wave2Msg#0,"""ระลอกที่สองกำลังมา!"""
Wave3Msg#0,"""ระลอกเสริมกำลังมา!"""
NpcComOnBegin#0,"""/voice11_voice_navi004_trial_0001_019 ยืนยันสัญญาณศัตรูจำนวนมาก! โฟตอนในชั้นบรรยากาศก็ดูเหมือนจะอยู่ในสภาวะถูกกระตุ้น ระวังตัวด้วยล่ะ!"""
NpcComOnBegin2#0,"""นั่นคือ 'Cold Photon' ที่ลอยอยู่ในอากาศ พวกมันไม่เสถียรอย่างมาก ดังนั้นการกระแทกแรงๆ ก็เพียงพอที่จะทำให้ระเบิดได้"""
NpcComOnWave2#0,"""/voice11_voice_navi004_trial_0001_027 ยืนยันสัญญาณศัตรูจำนวนมากขึ้น! การกระตุ้น Cold Photon ดูเหมือนจะเร็วขึ้นด้วย"""
NpcComOnExWave#0,"""/voice11_voice_navi004_trial_0001_041 ยืนยันการจัดการศัตรู--...โอ๊ะ? ฉันจับสัญญาณอื่นได้ ช่วยจัดการทีนะ"""
NpcComOnSuccess#0,"""/voice11_voice_navi004_trial_0001_069 สัญญาณศัตรูถูกจัดการเรียบร้อยแล้วในครั้งนี้ ขอบคุณมาก!"""
NpcComOnSuccessNoBonusWave#0,"""/voice11_voice_navi004_trial_0001_069 ยืนยันการกำจัดศัตรู ขอบคุณมาก!"""
NpcComOnFailure#0,"""/voice11_voice_navi004_trial_0001_073 แย่จัง... ศัตรูล่าถอยไปแล้ว ระดับโฟตอนดูเหมือนจะกลับมาเป็นปกติแล้วด้วย"""
