name01#0,"""힐다"""
text10#0,"""회복방법에 대해서도<br>확인해두겠다."""
text11#0,"""회복방법에 대해서도<br>확인해두겠다.<br>일시적으로 체력을 떨어트렸다."""
text00#0,"""회복"""
text100#0,"""모노메이트를 사용하여 회복하라!"""
text1000#0,"""<%SubPalette1>로 모노메이트를 사용하여 회복하라!"""
text1001#0,"""<%SubPalette>로 모노메이트를 사용하여 회복하라!"""
text201#0,"""서브팔레트의 모노메이트(회복약)을 사용하여, 체력을 회복하라!"""
text202#0,"""서브팔레트의 모노메이트(회복약)을 사용하여, 체력을 회복하라!"""
text203#0,"""서브팔레트 사용：<%SubPalette1>"""
text204#0,"""서브팔레트 전환：<%SubPaletteLeft>、<%SubPaletteRight><br>서브팔레트 선택：<%SubPalette>"""
text205#0,"""서브팔레트 사용：<br>아이콘을 터치"""
