name01#0,"""제노"""
name02#0,"""아핀"""
name03#0,"""에코"""
skit01#0,"""/ci1 2 뭐, 뭐야 저 큰 녀석은!<br>저렇게 큰 녀석을 쓰러뜨릴 수<br>있는걸까………"""
cu_090020_0090#0,"""제노!<br>귀환용 텔레파이프를 준비할 테니까<br>그 대형 다커를 먼저 해치워 줘!!"""
skit03#0,"""/ci1 2 알겠어 에코.<br>포톤 블래스트로 단숨에 해치운다.<br>시간 좀 벌여줘 루키들!"""
skit04#0,"""/ci1 2 무리하게 쓰러뜨릴 생각은 하지마.<br>살아남을 생각을 가장 먼저 해."""
skit01#1,"""뭐, 뭐야 저 큰 녀석은!<br>저렇게 큰 녀석을 쓰러뜨릴 수<br>있는걸까………"""
cu_090020_0090#1,"""제노!<br>귀환용 텔레파이프를 준비할 테니까<br>그 대형 다커를 먼저 해치워 줘!!"""
skit03#1,"""알겠어 에코.<br>포톤 블래스트로 단숨에 해치운다.<br>시간 좀 벌여줘 루키들!"""
skit04#1,"""무리하게 쓰러뜨릴 생각은 하지마.<br>살아남을 생각을 가장 먼저 해."""
