name01#0,"""Hilda"""
cu_090010_0200#0,"""Multiple enemies confirmed nearby.<br>Be sure to evade enemy attacks."""
text00#0,"""Evasion"""
text100#0,"""Evade by pressing a move key twice!"""
text101#0,"""Use <%Avoid> to evade!"""
text1000#0,"""Evade by pressing a move key twice!"""
text1001#0,"""Use <%Avoid> to evade!"""
text201#0,"""Evade attacks!"""
text202#0,"""Evade attacks!"""
text203#0,"""Evade: Press a move key twice"""
text204#0,"""Evade: <%Avoid>"""
text205#0,"""Evade: <%LStick>+<%Avoid>"""
