name01#0,"""힐다"""
cu_090010_0140#0,"""표적을 더 추가하겠다.<br>전부 파괴하라!"""
text00#0,"""포톤아츠 사용"""
text10#0,"""테크닉 사용"""
text100#0,"""<%PhotonArts>로 포톤아츠를 사용하라!"""
text101#0,"""<%PhotonArts>로 테크닉을 발동하라!"""
text1000#0,"""<%PhotonArts>로 포톤아츠를 사용하라!"""
text1001#0,"""<%PhotonArts>로 테크닉을 발동하라!"""
text201#0,"""포톤아츠로 가상의 표적을 전부 파괴하라!"""
text202#0,"""테크닉으로 가상의 표적을 전부 파괴하라!"""
text203#0,"""포톤아츠 발동 : <%PhotonArts>"""
text204#0,"""테크닉 발동 : <%PhotonArts><br>※길게눌러서 차지<br>\놓아서 테크닉 발동"""
text205#0,"""포톤아츠로 명령한 타겟을 파괴하라!"""
text206#0,"""포톤아츠 발동 : <%PhotonArts>"""
