name01#0,"""힐다"""
cu_090010_0120#0,"""다음은, 포톤아츠의 확인이다.<br>가상의 표적을 전송하였다."""
cu_090010_0130#0,"""다음은, 테크닉의 확인이다.<br>가상의 표적을 전송하였다."""
text00#0,"""포톤아츠"""
text10#0,"""테크닉"""
text100#0,"""<%PhotonArts>로 포톤아츠를 사용하라!"""
text101#0,"""<%PhotonArts>로 테크닉을 발동하라!"""
text1000#0,"""<%PhotonArts>로 포톤아츠를 사용하라!"""
text1001#0,"""<%PhotonArts>로 테크닉을 발동하라!"""
text201#0,"""포톤아츠(필살기)로 가상의 표적을 전부 파괴하라!"""
text202#0,"""테크닉(마법)으로 가상의 표적을 전부 파괴하라!"""
text203#0,"""포톤아츠 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction_2>"""
text204#0,"""테크닉 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction_2><br>※길게 눌러서 차지<br>놓아서 테크닉 발동"""
text205#0,"""포톤아츠(필살기)로 명령한 가상의 표적을 전부 파괴하라!"""
text206#0,"""포톤아츠 발동 : <%PhotonArts><br>※발동시 PP를 소모한다.<br>※통상공격을 맞춰서 PP를 회복할 수 있다."""
text207#0,"""포톤아츠 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction>"""
text208#0,"""포톤아츠 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction_2><br>※길게 눌러서 차지<br>놓아서 포톤아츠 발동"""
text209#0,"""포톤아츠 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction><br>※길게 눌러서 차지<br>놓아서 포톤아츠 발동"""
text210#0,"""테크닉 발동 : <%PhotonArts><br>다른 팔레트로 전환 : <%WeaponAction><br>※길게 눌러서 차지<br>놓아서 테크닉 발동"""
