name01#0,"""Hilda"""
cu_090010_0010#0,"""This is your Operator, Hilda.<br>Your final exam quest begins now."""
cu_090010_0020#0,"""First, observe your environment. Look around."""
skit03#0,"""Now, move to the location specified here. No need to rush."""
text00#0,"""Do you want to play the tutorial?"""
text01#0,"""Play the tutorial"""
text02#0,"""Skip the tutorial"""
cu_090010_0010#1,"""This is your Operator, Hilda.<br>Your final exam quest begins now."""
cu_090010_0020#1,"""First, observe your environment. Look around."""
text201#0,"""Control the camera and look around!"""
text202#0,"""Control the camera and look around!"""
text203#0,"""Change camera angle: Move the mouse<br>※Sensitivity and axis direction can be changed<br>from Options on the main menu."""
text204#0,"""Change camera angle: <%RStick><br>※Sensitivity and axis direction can be changed<br>by pressing <%MainMenu> and selecting Options."""
text205#0,"""Change camera angle: Move the mouse<br>※Sensitivity and axis direction can be changed<br>from Options on the main menu.<br>※Use <%ChangeView> to switch to shoulder view"""
text206#0,"""Change camera angle: <%RStick><br>※Sensitivity and axis direction can be changed<br>by pressing <%MainMenu> and selecting Options.<br>※Use <%ChangeView> to switch to shoulder view"""
text207#0,"""Adjust the camera"""
