name01#0,"""Hilda"""
cu_090010_0030#0,"""Alright, no problems there."""
cu_090010_0040#0,"""Next, we'll go over how to move.<br>Move to the specified location."""
cu_090010_0030#1,"""Alright, no problems there."""
cu_090010_0040#1,"""Next, we'll go over how to move.<br>Move to the specified location."""
text101#0,"""Use <%LStick> to move to the target location!"""
text1000#0,"""Move with <%MoveForward><%MoveBack><%MoveLeft><%MoveRight>"""
text1001#0,"""Move with <%LStick>!"""
text201#0,"""Move to the target location!"""
text202#0,"""Move to the target location!"""
text203#0,"""To move forward: <%MoveForward><br>To move back: <%MoveBack><br>To move left: <%MoveLeft><br>To move right: <%MoveRight>"""
text204#0,"""To move your character: <%LStick>"""
text205#0,"""Move around"""
