name01#0,"""힐다"""
11_voice_navi02_122#0,"""무기에는 응용적인 사용 방법이 있다.<br>원하는 만큼 시도 해도 괜찮다."""
text00#0,"""무기의 응용 사용"""
text01#0,"""무기의 응용 사용"""
text100#0,"""무기액션"""
text101#0,"""다른 팔레트"""
text1000#0,"""가드:<%WeaponAction><br>※적의 공격에 맞춰서 가드를 하면 저스트가드가 발동된다."""
text1000_3b#0,"""가드:<%MainPaletteC><br>※적의 공격에 맞춰서 가드를 하면 저스트가드가 발동된다."""
text1001#0,"""팔레트 전환 : <%WeaponAction><br>포톤 아츠 : <%NormalAttack>"""
text1001_3b#0,"""팔레트 전환 : <%WeaponAction_2><br>포톤 아츠 : <%NormalAttack>"""
text1002#0,"""팔레트 전환 : <%WeaponAction><br>테크닉 : <%NormalAttack>"""
text1002_3b#0,"""팔레트 전환 : <%WeaponAction_2><br>테크닉 : <%NormalAttack>"""
text1003#0,"""팔레트 전환 : <%WeaponAction><br>포톤 아츠 : <%NormalAttack>"""
text1003_3b#0,"""팔레트 전환 : <%WeaponAction_2><br>포톤 아츠 : <%NormalAttack>"""
text1004#0,"""무기 액션 : <%WeaponAction><br>※상황에 따라<br>다양한 액션으로 파생"""
text1004_3b#0,"""무기 액션 : <%MainPaletteC><br>※상황에 따라<br>다양한 액션으로 파생"""
text1005#0,"""팔레트 전환 : <%WeaponAction><br>포톤 아츠 : <%NormalAttack>"""
text1005_3b#0,"""팔레트 전환 : <%WeaponAction_2><br>포톤 아츠 : <%NormalAttack>"""
