IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Derrotar a $(0) en el area final!"""
TrialAbstract#0,"""Derrotar a $(0)!"""
NpcComOnBegin#0,"""Directiva urgente.<br>Confirmada poderosas lecturas enemigas.<br>Por favor derrotar inmediatamente."""
NpcComOnSuccess#0,"""Las lecturas de los enemigos<br>han desaparecido, gracias por el<br>esfuerzo de todos."""
NpcComOnFailure#0,"""/face4 Lecturas de grupo que participan<br>han desaparecido. teletransporta<br>inmediata al Campship."""
HP_Under_50#0,"""El $(0) se esta cansando!"""
HP_Under_10#0,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#0,"""Queda uno!"""
NpcComOnBegin#1,"""Esto es urgente. hemos detectado<br>poderosas lecturas de un enemigo.<br>Derrotalo lo antes posible."""
NpcComOnSuccess#1,"""La desaparicion de las lecturas<br>enemigas han sido confirmada. Bien hecho."""
NpcComOnFailure#1,"""Tch, they've taken a beating.<br>Teleporting them to Campship."""
HP_Under_50#1,"""El $(0) se esta cansando!"""
HP_Under_10#1,"""$(0) esta muy debil!"""
NpcComLastEnemy#1,"""Queda uno! no pierdas<br>la concentracion!"""
NpcComOnBegin#2,"""U-urgente! Potentes lecturas<br>enemigas confirmadas!<br>Por favor, derrotalos rapidamente!"""
NpcComOnSuccess#2,"""/face2 Las lecturas enemigas han<br>desaparecido! Muchas gracias a todos!"""
NpcComOnFailure#2,"""/face6 ¡No! Los ARKS han sufrido<br>graves daゃos...<br>Teletransportelos al Campship..."""
HP_Under_50#2,"""El $(0) se esta debilitando!"""
HP_Under_10#2,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#2,"""/face2 ¡Uno mas! ¡Uno mas!"""
NpcComOnBegin#3,"""Hay una <red>emergencia<c>!<br>se han detectado lecturas enemigas.<br>Inicien contramedidas inmediatas."""
NpcComOnSuccess#3,"""Han desaparecido las lecturas enemigas.<br>La mision se ha completado."""
NpcComOnFailure#3,"""継続戦闘、不可。<br>キャンプシップに強制転送します。"""
HP_Under_50#3,"""Los signos vitales de $(0) estan disminuyendo."""
HP_Under_10#3,"""$(0) esta quedando casi exhausto."""
NpcComLastEnemy#3,"""Solo falta un enemigo."""
NpcComOnBegin#4,"""Aviso de emergencia!<br>se confirmo una fuerte reaccion enemiga!<br>date prisa, y derrotalo!"""
NpcComOnSuccess#4,"""La reaccion enemiga ha desaparecido! <br>gracias por su esfuerzo!"""
NpcComOnFailure#4,"""continuar es una mala idea! Permitanme enviarlo ha recuperacion!"""
HP_Under_50#4,"""La energia de $(0), ha disminuido!"""
HP_Under_10#4,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#4,"""Queda uno!"""
