IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnBegin#0,"""Urgent directive. <br>Confirmed powerful enemy readings. <br>Please defeat it immediately."""
NpcComOnSuccess#0,"""/face2 Enemy readings have disappeared, <br>thanks to your hard work."""
NpcComOnFailure#0,"""/face4 Engaged group readings have<br>disappeared. Attempting immediate<br>teleportation to the Campship."""
HP_Under_50#0,"""The $(0) is getting weaker!"""
HP_Under_10#0,"""The $(0) has only a little strength left!"""
NpcComLastEnemy#0,"""There's one left!"""
NpcComOnBegin#1,"""U-urgent orders! Powerful <br>enemy readings confirmed! <br>Please, defeat it quickly!"""
NpcComOnSuccess#1,"""/face2 The enemy's readings<br>have vanished! Thanks<br>a lot, everyone!"""
NpcComOnFailure#1,"""/face6 No! The engaged Arks <br>have suffered heavy damage... <br>Teleporting them to the Campship..."""
HP_Under_50#1,"""The $(0) is really getting weaker!"""
HP_Under_10#1,"""The $(0) has only got a tiny bit of strength left!"""
NpcComLastEnemy#1,"""/face2 One more! One more!"""
