IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat $(1) $(0)!"""
TrialAbstract#0,"""Defeat a certain number of $(0)!"""
NpcComOnBegin#0,"""Confirmed a nearby outbreak <br>of $(0)! All Arks, <br>please be on your guard!"""
NpcComOnSuccess#0,"""/face2 Confirmed that the target's <br>readings have vanished!<br>Martial law is being lifted."""
NpcComOnBegin#1,"""Outbreak of $(0) <br>has been confirmed in the vicinity. <br>Don't let your guard down, everyone."""
NpcComOnSuccess#1,"""Target neutralization has <br>been confirmed. Nicely <br>done, lifting martial law."""
NpcComOnBegin#2,"""Ah! Aaah! $(0) <br>appeared nearby! Be careful!"""
NpcComOnSuccess#2,"""/face2 Target readings have disappeared! <br>Good work, thank you!"""
NpcComOnBegin#3,"""Confirmed enemy reactions of<br>$(0) in the area!"""
NpcComOnSuccess#3,"""Target reaction eliminated.<br>Return to your normal mission."""
NpcComOnBegin#4,"""We have confirmed readings<br>of $(0) in the area!<br>Be on your guard!"""
NpcComOnSuccess#4,"""Target readings disappeared.<br>Stay safe out there!"""
