IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
TrialAbstract#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
NpcComOnBegin#0,"""Relieve the other Arks and<br>cooperate to subdue the enemy!"""
NpcComOnSuccess#0,"""/face2 Great work! You've really got <br>the hang of this teamwork thing!"""
NpcComOnFailure#0,"""What a mess. We'll <br>retrieve the wounded."""
NpcComOnDownA#0,"""Your coordination is suffering.<br>Remember that you must <br>work together."""
NpcComOnDownB#0,"""That Arks can't handle this alone.<br>I recommend you retreat<br>should you fail again."""
NpcComOnBegin#1,"""Seems you've got backup. Work <br>together to exterminate the targets. <br>Put on a united front, so to speak."""
NpcComOnSuccess#1,"""I see you have the knack! You're <br>a real credit to one another, <br>working together like that!"""
NpcComOnFailure#1,"""Ugh, here we go again. <br>We do worry about you, <br>so please, retreat."""
NpcComOnDownA#1,"""You're not coordinating properly. <br>Don't forget to work together."""
NpcComOnDownB#1,"""That ARKS burden is really weighing <br>'em down. I suggest you retreat if <br>there's another screw-up, alright?"""
NpcComOnBegin#2,"""Everyone, this Arks is your partner! <br>Try your best to work together!"""
NpcComOnSuccess#2,"""/face2 Good job! You make <br>such a great team!"""
NpcComOnFailure#2,"""Well, these things happen! <br>We'll pick them up, so don't <br>you worry about it one bit!"""
NpcComOnDownA#2,"""Ummm... Your coordination <br>isn't so good... Please try <br>to work together a bit more."""
NpcComOnDownB#2,"""It's getting a bit too much for <br>your partner... You might want <br>to think about retreating..."""
NpcComOnBegin#3,"""救援人員の到着を確認。<br>協力して目標のDefeatを。"""
NpcComOnSuccess#3,"""目標のDefeatを確認。<br>見事な連携でした。"""
NpcComOnFailure#3,"""救援人員、戦闘不能。<br>こちらで強制回収します。<br>通常任務へお戻りください。"""
NpcComOnDownA#3,"""協力が不十分かと。<br>互いの存在を意識して<br>任務にあたってください。"""
NpcComOnDownB#3,"""対象のアークスの負担が大きく<br>危険な状態です。次の失敗時には<br>強制撤退となります。"""
NpcComOnBegin#4,"""味方が救援に来てくれました！<br>協力して、敵性存在を撃退しましょう！"""
NpcComOnSuccess#4,"""お疲れさまでした！<br>相手が何であっても皆さんで協力すれば<br>怖いものなし、ですね！"""
NpcComOnFailure#4,"""対象のアークスはこちらで回収します！<br>こういうこともありますので<br>気を取り直して、いきましょう！"""
NpcComOnDownA#4,"""協力中のアークスの負担が大きいです！<br>上手くフォローしてあげてください！"""
NpcComOnDownB#4,"""協力中のアークスへの負担が大きく<br>危険なため、次の戦闘不能時には<br>強制的に対象者を回収します！"""
