IncidentName#0,"""迷子のナウラをカーゴに護送せよ"""
TrialBeginMsg#0,"""ナウラ長女を見つけだし<br>カーゴに護送せよ！"""
TrialAbstract#0,"""ナウラ長女を見つけだし<br>カーゴに護送せよ！"""
ToastOnSuccess#0,"""$(0) hat nun geöffnet."""
OnFind1#0,"""/ci4 3 ……ぐすっ。<br>海を見てただけなのに……<br>いつのまにかひとりぼっち。"""
OnFind2#0,"""/mn2 /toge /ci4 1 別に、なんでもないし……<br>泣いてないし……<br>迷子じゃないし……"""
OnFind3#0,"""/ci3 4 私を探しに来た……？<br>なら、はやく連れてって。"""
OnStopEnemy#0,"""......Uff."""
OnFollow#0,"""/ci3 4 帰りたい……<br>だから、はやく連れてって。"""
OnStopPlayer#0,"""/mn13 ……待って、待て。<br>歩くの早すぎ、待て。"""
OnRefollow#0,"""/ci4 5 Ich möchte zurückgehen...... Beeil dich endlich."""
OnDefeat#0,"""/mn6 /ci2 2 ......Hm."""
OnDead#0,"""/mn13 もうやだ……<br>無理にでも、帰る。"""
OnSuccess3#0,"""/ci2 2 ……うるさい。<br>迷ってないし、無愛想関係ないし。"""
OnSuccess6#0,"""/mn6 /ci1 1 t5 ......Großartig. Nun kauf etwas Kuchen"""
OnFailure3#0,"""/mn3 /ci5 2 ……うるさい。<br>気分最悪、だから帰る。"""
OnStart2#0,"""/mn2 /ci4 2 じ、実は、うちの姉さんが<br>ふらふらっとどこかに<br>行ってしまいましてー……"""
OnStart3#0,"""/mn1 /ci4 1 このままだとケーキ作れません<br>店も開けません、一家離散ですー。<br>お願いです、探して下さいー。"""
OnSuccess1#0,"""/mn15 /toge /ci2 1 姉さんー！"""
OnSuccess4#0,"""/mn11 /ci2 1 よかったぁ、姉さんが無事で……<br>あのっ、本当に本当に<br>ありがとうございますー。"""
OnFailure1#0,"""/mn22 /ci4 2 /toge 姉さんー！<br>姉さんが唐突に帰ってきたー！"""
OnFailure4#0,"""/mn11 /ci4 3 とにかく、無事でよかったですー。"""
OnSecondBefore1#0,"""B-bitte bring uns unsere große Schwester zurück."""
OnSecondBefore2#0,"""Ich habe den Verdacht, dass unsere große Schwester irgendwo dort drüben ist. Nenn es den Kleine-Schwester-Instinkt."""
OnStart1#0,"""/mn9 /ci2 1 /toge あっ！\u3000いいところに！<br>相談したいことがっ！"""
OnStart4#0,"""/mn16 /toge /ci2 2 お姉ちゃん連れてきてくれたら<br>めいっぱいサービスするからっ！"""
OnSuccess2#0,"""/mn12 /toge /ci3 1 もー、心配させないでよね！<br>お姉ちゃん、昔っから方向音痴で<br>無愛想でどーしよーもないんだから！"""
OnSuccess5#0,"""/mn15 /toge /ci2 1 さーて、お姉ちゃんも<br>帰ってきたことだし<br>精一杯サービスしちゃうよー！"""
OnFailure2#0,"""/mn12 /ci3 2 まったくもー、お姉ちゃんは<br>心配させないでよね！"""
OnThirdBefore1#0,"""お姉ちゃんをよろしくっ！"""
OnThirdBefore2#0,"""お姉ちゃんはあっちに<br>いそうな気がする！<br>絶対！\u3000たぶん！\u3000おそらくっ！"""
