IncidentName#0,"""アークスの模倣体？を撃退せよ"""
TrialBeginMsg#0,"""全ての敵を撃破せよ！"""
TrialAbstract#0,"""全ての敵を撃破せよ！"""
NpcComOnBegin#0,"""極めて強力な敵性反応を感知！<br>この反応は……何なんでしょう<br>なんとか全て撃破してください！"""
NpcComOnSuccess#0,"""敵性反応消失に伴い<br>皆さんの座標も捕捉できました<br>状況クリア。帰還してください"""
NpcComOnFailure#0,"""Fehlschlag..."""
NpcComOnBegin#1,"""極めて強力な敵性反応！<br>……やっかいなのが来るぞ<br>帰還のために、すべて排除しろ！"""
NpcComOnSuccess#1,"""……反応消失<br>諸君の座標も確認できた<br>転送装置を送る、帰還せよ"""
NpcComOnFailure#1,"""Fehlschlag"""
NpcComOnBegin#2,"""うわっ、ものすごい強い反応……！<br>その空間の主だと思いますけど<br>この反応って……あれ？"""
NpcComOnSuccess#2,"""/face2 あ、ああっと、敵の反応消失！<br>みなさんの座標もつかみました！<br>帰還しちゃってくださいー！"""
NpcComOnFailure#2,"""Fehlschlag"""
