name01#0,"""Ozha"""
name02#0,"""Marlu"""
name03#0,"""Lisa"""
name04#0,"""Afin"""
name05#0,"""Patty"""
name06#0,"""Tea"""
name07#0,"""Sara"""
skit01#0,"""I see, so stepping on this switch opens the fence for a moment."""
skit02#0,"""So stepping on the switch opens the gate for a short period of time?"""
skit03#0,"""Stepping on this switch opens the fence briefly. Pretty simple."""
skit04#0,"""So stepping on this switch opens the fence for a little."""
skit05#0,"""What's this switch? Who cares, let's press it!"""
skit06#0,"""Patty, would you try to use your brain occasionally? It opens the fence."""
skit07#0,"""So this switch opens the fence. It's so obvious, some kid must have made this puzzle."""
skit01#1,"""/ci2 2 I see, so stepping on this switch opens the fence for a moment."""
skit02#1,"""/ci2 2 So stepping on the switch opens the gate for a short period of time?"""
skit03#1,"""/ci2 2 Stepping on this switch opens the fence briefly. Pretty simple."""
skit04#1,"""/ci2 2 So stepping on this switch opens the fence for a little."""
skit05#1,"""/ci2 2 What's this switch? Who cares, let's press it!"""
skit06#1,"""/ci2 2 Patty, would you try to use your brain occasionally? It opens the fence."""
skit07#1,"""/ci2 2 So this switch opens the fence. It's so obvious, some kid must have made this puzzle."""
