IncidentName#0,"""Deactivate the Time Bombs"""
TrialBeginMsg#0,"""Deactivate all the time bombs!"""
TrialAbstract#0,"""Deactivate all the time bombs!"""
ToastOnHalfFinish#0,"""Half the time bombs remain."""
ToastOnLast#0,"""Only one time bomb remains."""
ToastCollect#0,"""$(0) has deactivated a time bomb."""
ToastCollect2#0,"""A time bomb has been deactivated."""
ToastRewards#0,"""$(0) has earned $(1) EXP and $(2) meseta."""
NpcComOnBegin#0,"""We've identified several time bombs put in place<br>by Darkers! You'll need to deal with them before<br>they explode."""
NpcComOnBegin2#0,"""Time bombs pack a punch, but if you're able<br>to figure out how they're put together, it's possible<br>to deactivate them. You'll need to inspect them."""
NpcComOnSuccess#0,"""All time bombs have been deactivated.<br>A job well done."""
NpcComOnFailure#0,"""The time bombs have exploded!<br>Are you okay?!"""
NpcComOnLastHalf#0,"""You've deactivated half of the time bombs.<br>Keep it up!"""
NpcComOnLastOne#0,"""There's only one time bomb left!"""
NpcComOnCorrect#0,"""The time bomb in question has cooled down and<br>it's no longer dangerous. The deactivation was<br>a success."""
NpcComOnIncorrect#0,"""It seems there was a mistake in your input,<br>but you won't be able to try again right away."""
NpcComOnRemain30#0,"""There's only 30 seconds left before they<br>blow! Deal with them as fast as you can."""
NpcComOnJoin#0,"""We're currently at work dealing with some<br>Darker time bombs. Please assist!"""
NpcComOnBegin#1,"""Blast... looks like we've got some Darker<br>time bombs on our hands. Hurry, we'll need<br>to take these things out before they blow."""
NpcComOnBegin2#1,"""These things are a nasty bunch and pack a lot<br>of power, but they can be deactivated. You'll<br>have to do it before the time runs out."""
NpcComOnSuccess#1,"""Excellent! All time bombs have been<br>deactivated. Well done."""
NpcComOnFailure#1,"""The heat readings are off the chart!<br>Were you unable to stop them?!"""
NpcComOnLastHalf#1,"""Excellent, you've deactivated half of them.<br>Keep it up!"""
NpcComOnLastOne#1,"""Only one time bomb left.<br>Don't let your guard down until they've<br>all been deactivated."""
NpcComOnCorrect#1,"""The reading for this bomb has weakened.<br>....Looks like you've deactivated it."""
NpcComOnIncorrect#1,"""Blast, something went wrong...<br>Looks like you'll have to wait a bit before<br>you can try the deactivation code again."""
NpcComOnRemain30#1,"""Hurry! There's only 30 more seconds until<br>the bombs go up in smoke."""
NpcComOnJoin#1,"""Ah, you've arrived at the perfect time.<br>We're currently dealing with some Darker<br>time bombs. Think you can lend a hand?"""
NpcComOnBegin#2,"""Warning! We're getting some dangerous readings!<br>Looks like we've got some Darker time bombs<br>on our hands... and a lot of 'em!"""
NpcComOnBegin2#2,"""B-but don't panic yet! You can<br>stop these things before they go off.<br>Inspect them closely and look for<br>a way to deactivate them!"""
NpcComOnSuccess#2,"""/face2 Alright! Every time bomb is down for<br>the count. Great job!"""
NpcComOnFailure#2,"""That explosion was off the charts!<br>Are you alright?"""
NpcComOnLastHalf#2,"""Only half the bombs to go!<br>Keep it up, you're doing great!"""
NpcComOnLastOne#2,"""Only one left!"""
NpcComOnCorrect#2,"""You've put a stop to that one!<br>Deactivation was a success!"""
NpcComOnIncorrect#2,"""Hmm, looks like something went wrong.<br>But you'll have to wait a bit before you can<br>try it again..."""
NpcComOnRemain30#2,"""You've only got 30 seconds left!<br>Please hurry!"""
NpcComOnJoin#2,"""/face2 What perfect timing! We're right in the<br>middle of a darker time bomb deactivation<br>operation! Care to lend a hand?"""
