IncidentName#0,"""Close Call on Vopar!"""
TrialBeginMsg#0,"""Rescue the civilians of Vopar!"""
TrialAbstract#0,"""Destroy the Gum Anemones!"""
NpcComOnBegin#0,"""/face1 捕獲されている原生住民を発見。<br>このままでは危険です。<br>至急、救助をお願いします。"""
NpcComOnSuccess#0,"""/face2 救出、成功です。<br>原生住民も感謝しているようですね。"""
NpcComOnFailure#0,"""/face4 ……反応、消失しました。<br>任務失敗です。"""
NpcComOn1st#0,"""/face1 原生住民が呑み込まれています。<br>早く、助けてあげて下さい。"""
NpcComOn2nd#0,"""/face1 救出を急いであげて下さい。<br>このままでは完全に<br>呑み込まれてしまいます。"""
NpcComOn3rd#0,"""/face1 完全に呑み込まれてしまっています。<br>早く助けてあげないと<br>原生住民が危ないです。"""
NpcComOnBegin#1,"""/face1 捕食されている原生住民を発見した。<br>急ぎ、救出に向かえ。"""
NpcComOnSuccess#1,"""/face2 よくやった、救出完了だ。<br>見ろ、原生住民も感謝しているぞ。"""
NpcComOnFailure#1,"""/face1 反応、消失……か。<br>仕方ない、通常任務に戻れ。"""
NpcComOn1st#1,"""/face1 原生住民を呑み込んでいっている……<br>彼らの回復と、救出を。"""
NpcComOn2nd#1,"""/face3 ち……<br>かなり呑み込まれてしまっている。<br>急がねば、手遅れになるぞ。"""
NpcComOn3rd#1,"""/face3 ……完全に呑み込まれてしまったか。<br>このままではまずい……救出を急げ。"""
NpcComOnBegin#2,"""/face1 たっ、たいへんですー！<br>原生住民がキモチワルイのに<br>捕まっちゃってます！\u3000救助をー！"""
NpcComOnSuccess#2,"""/face2 やったやった、やりました！<br>これで救出完了です！<br>原生住民も嬉しそうですね！"""
NpcComOnFailure#2,"""/face4 ああっ……もう……<br>……だめです。<br>任務、失敗です。"""
NpcComOn1st#2,"""/face1 げ、げげっ、原生住民が<br>食べられそうになってます！<br>早く救出してあげないと！"""
NpcComOn2nd#2,"""/face4 うう……かなーり呑み込まれて<br>しまっていますよう……<br>早く助けてあげないとー！"""
NpcComOn3rd#2,"""/face1 わわわっ、丸呑み状態！？<br>は、早く助けてあげないと<br>本当に本当に危ないですよー！"""
