IncidentName#0,"""Lillipan Settlement Defense"""
TrialBeginMsg#0,"""Defend the Lillipan settlements!"""
TrialAbstract#0,"""Defend the Lillipan settlements!"""
NpcComOnBegin#0,"""The surviving Lillipan settlements are under attack. You must help them. Hurry!"""
NpcComOnAfterBegin#0,"""The settlements are located at $(0)."""
NpcComOnSuccess#0,"""Somehow, you held out. Good work."""
NpcComOnFailure#0,"""The settlements... were completely wiped out. There's nothing more we can do. Porfavor, vuelve a la mision principal"""
NpcComOnArrive#0,"""There is a Lillipan settlement at that spot. Porfavor fend off the hostiles in the area."""
NpcComOnBroken1#0,"""Settlement destruction confirmed. Two remain; you have to keep them safe."""
NpcComOnBroken2#0,"""Settlement destruction confirmed... One left. If at least one survives..."""
NpcComOnTimeLimit1#0,"""The enemy force seems to be dwindling. Don't let up. Porfavor continue the attack."""
NpcComOnTimeLimit2#0,"""Hostile activity is decreasing. Stay sharp until it's all over."""
NpcComOnBegin#1,"""The nearby Lillipan settlements seem to be under attack. All ARKS, prepare to lend them your aid."""
NpcComOnAfterBegin#1,"""The coordinates are $(0). Head to that area immediately."""
NpcComOnSuccess#1,"""Excellent, the settlements have been successfully defended. Well done."""
NpcComOnFailure#1,"""The settlements have been annihilated... Unfortunately, there's nothing we can do anymore. regresa a la mision principal."""
NpcComOnArrive#1,"""Good, it looks like you've reached the settlement. Fend off the hostiles in the area."""
NpcComOnBroken1#1,"""Tch... One of the settlements has been destroyed? Two remain, hurry and help them."""
NpcComOnBroken2#1,"""There is one settlement remaining. You must protect it no matter the cost."""
NpcComOnTimeLimit1#1,"""Very good, the enemy force is dwindling."""
NpcComOnTimeLimit2#1,"""The enemy force is being repelled. Keep pushing them back."""
NpcComOnBegin#2,"""The Lillipan settlements in the area are being attacked! Porfavor hurry and help them out!"""
NpcComOnAfterBegin#2,"""The settlements are located at... $(0)! Look for the marker!"""
NpcComOnSuccess#2,"""Ah, good... It seems you saved the settlements somehow. Really, good work!"""
NpcComOnFailure#2,"""...Oh no, the settlements have been totally wiped out. No hay nada que podamos hacer ahora. Porfavor, vuelve a la mision principal"""
NpcComOnArrive#2,"""These are the Lillipan settlements! While you're fending off the hostiles in the area, Porfavor keep the settlements safe!"""
NpcComOnBroken1#2,"""Aaah, one of the settlements has been destroyed! There are two left. Porfavor protect them!"""
NpcComOnBroken2#2,"""Only one settlement left! Please, please, keep it safe somehow!"""
NpcComOnTimeLimit1#2,"""The enemy force is weakening! Keep at it! Just like that, just like that!"""
NpcComOnTimeLimit2#2,"""Amazing! You're pushing the enemies back! A little bit more, just a little bit more!"""
