IncidentName#0,"""Destruye la fuente de poder del barco!"""
TrialBeginMsg#0,"""After defeating the enemies,<br>board the ship and destroy the power source!"""
TrialAbstract#0,"""After defeating the enemies,<br>board the ship and destroy the power source!"""
NpcComOnBegin#0,"""Tch, a warship has surfaced. It's gonna be trouble if you just leave it and it bombards you. Deal with it ASAP."""
NpcComOnCannonBreak#0,"""I'm transporting a catapult to your location. Use it to board the ship and take out its power source."""
NpcComOnSuccess#0,"""The ship has gone silent. That'll put a stop to the bombardments. Nice work."""
NpcComOnFailure#0,"""Parece que finalmente se quedo sin jugo ... Bueno, lo que sea. Debe volver a su mision."""
NpcComOnBegin#1,"""Un barco ha salido a la superficie. Lo que le permite continuar con su bombardeo eso es peligroso. Solicito su apoyo para tratar con esto urgentemente."""
NpcComOnCannonBreak#1,"""Una catapulta ha sido transferida para poder saltar a la nave, a continuacion, destruya su fuente de alimentacion."""
NpcComOnSuccess#1,"""Hemos confirmado la desaparicion de energia emitida del barco. Su rendimiento ha sido admirable."""
NpcComOnFailure#1,"""With the target's energy down to zero, we've confirmed it has come to an automatic stop. All operatives are requested to return to their regular mision."""
