IncidentName#0,"""Defeat the $(0)!"""
TrialBeginMsg#0,"""Emergency directive! Defeat the <br>newly-appeared $(0)!"""
TrialAbstract#0,"""Defeat the<br>newly-appeared $(0)!"""
NpcComOnPreBegin#0,"""Confirmed $(0) <br>neutralization! That was great work! <br>... E-eh? What's this huge reading!?"""
NpcComOnBegin#0,"""This is urgent! We have confirmed <br>$(0) reinforcements! <br>We didn't see it approaching!"""
NpcComOnSuccess#0,"""/face2 We can now confirm that the $(0) has been totally eradicated!<br>Well done, everyone!"""
NpcComOnPreBegin#1,"""$(0) extermination <br>confirmed. Whew, that's that... No, <br>wait! What's with these readings!?"""
NpcComOnBegin#1,"""Urgent directive! $(0) <br>reinforcements have arrived! We <br>weren't aware of it until now!"""
NpcComOnSuccess#1,"""$(0) extermination <br>confirmed. Thanks for your cooperation, everyone."""
NpcComOnPreBegin#2,"""/face2 We did it! The $(0) has<br>been eliminated! Oh, wait... <br>What's this? I'm seeing another big reading!"""
NpcComOnBegin#2,"""Oh, my! $(0)!? Another <br>one? When did you show up?"""
NpcComOnSuccess#2,"""/face2 Whew, we managed to repel the<br>$(0). Good job!"""
NpcComOnPreBegin#3,"""$(0)、撃破確認。<br>……ですが、別の反応が<br>近づいてきています。"""
NpcComOnBegin#3,"""緊急指令発令。<br>出現した$(0)を<br>撃破してください。"""
NpcComOnSuccess#3,"""緊急指令の達成を確認。<br>$(0)の反応は<br>消失しました。"""
NpcComOnPreBegin#4,"""$(0)の撃退を確認！<br>……ですが、なんだかもう少し<br>続きそうな感じですよ！"""
NpcComOnBegin#4,"""緊急連絡！<br>$(0)の反応を確認！<br>連戦です、気をつけてください！"""
NpcComOnSuccess#4,"""$(0)の撃退を<br>確認しました、お疲れ様です！<br>なんとかなってよかったです！"""
