IncidentName#0,"""Destroy the Darchyme!"""
TrialBeginMsg#0,"""Destroy the Darchyme!"""
TrialAbstract#0,"""Destroy every Darchyme!"""
NpcComOnBegin#0,"""Report to all Arks in the area. A Darchyme, Darker control point which corrupts the surrounding area, has appeared. Destroy them before they activate!"""
NpcComOnSuccess#0,"""It seems that all of the Darchyme have been destroyed. Damage to the surrounding area has been prevented. Todos, buen trabajo!"""
NpcComOnFailure#0,"""/face6 The Darchyme has activated. This region will take damage, but I guess there's nothing that could have been done."""
GeneratorLastOne#0,"""Only one Darchyme remaining."""
GeneratorAdd#0,"""New Darchyme have been found. Spread out and destroy them!"""
TimeLimitNear#0,"""Not much time until the Darchyme activate! Hurry!"""
DestroyGenerator#0,"""Destruction of Darchyme confirmed. Finish off the rest of them!"""
DestroyIndicated#0,"""Reaction at point $(0). Hurry up and destroy the Darchyme."""
