IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Derrotar a $(0) en el area final!"""
TrialAbstract#0,"""Derrotar a $(0)!"""
NpcComOnBegin#0,"""Directiva urgente.<br>Confirmada poderosas lecturas enemigas.<br>Por favor derrotar inmediatamente."""
NpcComOnSuccess#0,"""Las lecturas de enemigos han desaparecido,<br>Gracias por el esfuerzo de todos."""
NpcComOnFailure#0,"""/face4 Lecturas de grupo que participan<br>han desaparecido. teletransporta<br>inmediata al Campship."""
HP_Under_50#0,"""El $(0) se esta cansando!"""
HP_Under_10#0,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#0,"""Queda uno!"""
NpcComOnBegin#1,"""Esto es urgente. Se han detectado<br>poderosas lecturas enemigas.<br>Derrotalo lo antes posible."""
NpcComOnSuccess#1,"""Se ha confirmado que las lecturas<br>enemigas han desaparecido. Bien hecho."""
NpcComOnFailure#1,"""Tch, they've taken a beating.<br>Teleporting them to Campship."""
HP_Under_50#1,"""El $(0) se esta cansando!"""
HP_Under_10#1,"""$(0) esta muy debil!"""
NpcComLastEnemy#1,"""One left! Don't lose focus!"""
NpcComOnBegin#2,"""U-urgentes! Potentes lecturas<br>enemigas confirmadas!<br>Por favor, derrotelos rapidamente!"""
NpcComOnSuccess#2,"""/face2 Las lecturas enemigas<br>han desaparecido! Muchas<br>gracias a todos!"""
NpcComOnFailure#2,"""/face6 ¡No! Los ARKS han sufrido<br>graves daゃos...<br>Teletransportelos al Campship..."""
HP_Under_50#2,"""$(0) se esta debilitando!"""
HP_Under_10#2,"""A $(0) le queda muy poca  fuerza!"""
NpcComLastEnemy#2,"""/face2 ¡Uno mas! ¡Uno mas!"""
NpcComOnBegin#3,"""Hay una <red>emergencia.<c><br>se han detectado lecturas enemigas.<br>Iniciar contramedidas inmediatas."""
NpcComOnSuccess#3,"""Se han ido las lecturas enemigas.<br>Su mision se ha completado."""
NpcComOnFailure#3,"""継続戦闘、不可。<br>キャンプシップに強制転送します。"""
HP_Under_50#3,"""Los signos vitales de $(0) estan disminuyendo."""
HP_Under_10#3,"""$(0) esta quedando casi exhausto."""
NpcComLastEnemy#3,"""Solo falta un enemigo."""
NpcComOnBegin#4,"""Aviso de emergencia!<br>se confirmo una fuerte reaccion enemiga!<br>date prisa, y derrotalo!"""
NpcComOnSuccess#4,"""La reaccion enemiga ha desaparecido! <br>gracias por su esfuerzo!"""
NpcComOnFailure#4,"""continuar es una mala idea! Permitanme enviarlo ha recuperacion!"""
HP_Under_50#4,"""La energia de $(0), ha disminuido!"""
HP_Under_10#4,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#4,"""Queda uno!"""
