IncidentName#0,"""Muchas muestras de mineral!"""
TrialBeginMsg#0,"""Usa la maquina minera para extraer<br>una cierta cantidad de muestras<br>antes del tiempo limite!"""
TrialAbstract#0,"""Usa la maquina minera para extraer<br>una cierta cantidad de muestras<br>antes del tiempo limite!"""
ToastOnHalfFinish#0,"""A medio camino para llenar la cuotas."""
ToastOnLast#0,"""Uno mas para llenar la cuota."""
NpcComOnBegin#0,"""Este parece ser un buen lugar.<br>Miremos que puedes encontrar, usa la maquina minera."""
NpcComOnSuccess#0,"""La extracion fue un exito, asi que<br>supongo que hemos terminado. Es<br>hora de analizar los minerales!"""
NpcComOnFailure#0,"""Escogimos el lugar equivocado?...<br>Sera para la proxima vez, supongo."""
NpcComOnAccess#0,"""Sabes como usar la maquina minera?<br>presiona <%Access> cuando este brillando."""
NpcComOnHit#0,"""Eso esta muy bien.<br>Por el sector que esta cavando."""
NpcComOnMiss#0,"""Prueba algunas de las otras<br>maquinas, no se quede solo en una."""
NpcComOnPreSuccess#0,"""Parece que completastes la cuota.<br>Sientete libre de mirar a su<br>alrededor, sin embargo, todavia hay<br>algunos lugares disponibles para cavar."""
NpcComOnPreFinish#0,"""Las maquinas no estaran activas<br>por mucho tiempo.<br>Porfavor sea rapido."""
NpcComOnBegin#1,"""Aqui parece perfecto. Utilice la maquina Minera para buscar la muestra."""
NpcComOnSuccess#1,"""Mineria completa. Parece que este era el punto correcto."""
NpcComOnFailure#1,"""¿...Hemos fallado la excavacion del mineral? Bueno, no se pudo evitar. Esperaremos otra oportunidad."""
NpcComOnAccess#1,"""Para poder trabajar con la maquina Minera, debe presionar <%Access> cuando esten brillando."""
NpcComOnHit#1,"""Al excavar puedes encontrar algunos objetos, aparte de datos valiosos.."""
NpcComOnMiss#1,"""No permanezca en un solo lugar, hay otras maquinas que se pueden utilizar."""
NpcComOnPreSuccess#1,"""Nuestra cuota se ha cumplido. Como todavia sobra tiempo, es posible continuar con su excavacion."""
NpcComOnPreFinish#1,"""Las maquinas dejaran de  funcionar en poco tiempo. Si todavia esta excavando, por favor date prisa."""
