IncidentName#0,"""Capture the $(0)!"""
TrialBeginMsg#0,"""Use the Capture Device to capture the $(0)!"""
TrialAbstract#0,"""Use the Capture Device to capture the $(0)!"""
ToastOnRestTryCaptureNum#0,"""Capture Device activations remaining\u3000$(0) times left."""
ToastOnUselessAccess#0,"""This Capture Device cannot be used."""
NpcComOnBegin#0,"""The directive has changed!<br>Please capture the $(0)."""
NpcComOnAfterBegin#0,"""We've transferred a capture device to point $(0).<br>All Arks, assist to capture the target!<br>Repeat, you must capture the target."""
NpcComOnSuccess#0,"""We have confirmed that the transfer of the capture target was successful. We appreciate that you acted so quickly despite the rapid change of orders."""
NpcComOnFailure#0,"""It is impossible to continue the capture mission. We have no choice but to abort. Please return to the regular mission."""
NpcComOnEnableCapture#0,"""The target is within capture range! Now, activate the capture device!"""
NpcComOnCaptureSwitch#0,"""There's no problem with your timing, just next time, please make sure it doesn't leave the capture field."""
NpcComOnDisableCapture#0,"""You can't use the capture device right now. Please lure the capture target in range first."""
NpcComOnSuccessCapture#0,"""Capture successful; transfer completion confirmed."""
NpcComOnFailedCapture#0,"""Capture failed. The capture device's range is limited. Please don't let it escape from the capture field."""
NpcComOnAttackTarget#0,"""The objective is only to capture the target. Please avoid attacking it as much as possible."""
NpcComOnDeadTarget#0,"""The capture target's vital signs have disappeared. There's nothing we can do now except wait for another one to appear."""
NpcComOnLastCapture#0,"""The transfer equipment is under heavy load and can only be used one more time. Make this one count."""
NpcComOnBegin#1,"""There's been a change in your orders.<br>You are to immediately capture the $(0)."""
NpcComOnAfterBegin#1,"""A capture device was transferred to $(0).<br>All ARKS are to lure the target inside of the device and capture it!"""
NpcComOnSuccess#1,"""The capture target has been successfully transferred. Sorry about the quick change of plans. You've done well."""
NpcComOnFailure#1,"""Attempting to use the capture device anymore would be too dangerous. We have to abort. Please return to the regular mission."""
NpcComOnEnableCapture#1,"""The target is within capture range. Activate the capture device."""
NpcComOnCaptureSwitch#1,"""Your timing was perfect, but don't let it leave the capture field next time."""
NpcComOnDisableCapture#1,"""You can't use the capture device yet. Lead the target in range first."""
NpcComOnSuccessCapture#1,"""Capture successful. Transferring."""
NpcComOnFailedCapture#1,"""Capturing the target failed."""
NpcComOnAttackTarget#1,"""The objective is strictly to capture the target. You should use as little force as possible."""
NpcComOnDeadTarget#1,"""The target's vitals have faded. That's it. Next time, then."""
NpcComOnLastCapture#1,"""The transfer equipment is under heavy load, you only have one more chance... Make the most of it."""
NpcComOnBegin#2,"""W-Wait! Switch to capturing the target!<br>Please capture the $(0)!"""
NpcComOnAfterBegin#2,"""Capture device is at $(0)!<br>Lure it in to be captured somehow!"""
NpcComOnSuccess#2,"""You captured the target! And you managed to do it even after we changed your orders so quickly! Way to go!"""
NpcComOnFailure#2,"""I-it's impossible now... Please go back to the regular mission."""
NpcComOnEnableCapture#2,"""The target is in capture range! Now! Activate the capture device!"""
NpcComOnCaptureSwitch#2,"""There's nothing wrong with your timing. Once it's inside the capture field, keep it pinned down!"""
NpcComOnDisableCapture#2,"""/face4 The capture device can't be used yet.<br>First, lure the target within range!"""
NpcComOnSuccessCapture#2,"""/face2 Subject capture is a success!<br>Transferring the specimen now!"""
NpcComOnFailedCapture#2,"""/face4 Oh no! The capture is a failure!<br>Please be careful, the capture device has<br>a limited effective range!"""
NpcComOnAttackTarget#2,"""Aah, um, er...! You're only supposed to capture the target! Try not to attack it if you can!"""
NpcComOnDeadTarget#2,"""/face6 Target's vital signs lost...<br>...Well, no way to capture it now.<br>Next time, for sure."""
NpcComOnLastCapture#2,"""The transfer device is low on power...<br>Only one chance left!<br>Please be careful!"""
NpcComOnBegin#3,"""指令変更を通達。<br>$(0)の<br>捕獲が目的となります。"""
NpcComOnAfterBegin#3,"""捕獲装置を$(0)に転送。<br>対象を誘導の後、捕獲。<br>指令は以上です。"""
NpcComOnSuccess#3,"""対象の捕獲を確認。<br>指令変更への迅速な対処<br>感謝します。"""
NpcComOnFailure#3,"""捕獲任務は失敗と判断。<br>通常任務にお戻りください。"""
NpcComOnEnableCapture#3,"""捕獲有効範囲内に対象を確認。<br>捕獲装置を起動してください。"""
NpcComOnCaptureSwitch#3,"""タイミングは問題なし。<br>後は、対象を有効範囲内で<br>捉えるように。"""
NpcComOnDisableCapture#3,"""今、捕獲装置は使用不可能です。<br>まずは対象を捕獲範囲内に<br>誘導してください。"""
NpcComOnSuccessCapture#3,"""対象捕獲、確認。<br>転送シーケンスに移ります。"""
NpcComOnFailedCapture#3,"""捕獲失敗を確認。<br>捕獲装置の有効範囲を確認し<br>再度、捕獲を行ってください。"""
NpcComOnAttackTarget#3,"""再確認。目的は対象の捕獲です。<br>捕獲対象を攻撃しないように。"""
NpcComOnDeadTarget#3,"""捕獲対象、反応消失しました。<br>捕獲はまた、次の機会に。"""
NpcComOnLastCapture#3,"""転送装置負荷限界まで<br>あと1回となります。<br>慎重な試行を求めます。"""
NpcComOnBegin#4,"""目標変更です！<br>$(0)を<br>捕獲してもらえますか！"""
NpcComOnAfterBegin#4,"""捕獲装置を$(0)へ用意しました。<br>対象を誘導して、捕獲してください！"""
NpcComOnSuccess#4,"""捕獲成功を確認しました！<br>急な目標変更にも即刻対応！<br>流石、といった感じですね！"""
NpcComOnFailure#4,"""うーん、捕獲任務はここまでですね。<br>何事も諦めが肝心ですし<br>通常任務に戻りましょう！"""
NpcComOnEnableCapture#4,"""対象、捕獲有効範囲内に捕捉！<br>装置を起動してください！"""
NpcComOnCaptureSwitch#4,"""ああっ、惜しい！<br>タイミングは完璧だったんですが<br>対象が逃げちゃったみたいですね！"""
NpcComOnDisableCapture#4,"""捕獲装置はまだ起動できません！<br>まずは捕獲対象を範囲内に<br>誘導しましょう！"""
NpcComOnSuccessCapture#4,"""捕獲成功、確認しました！<br>そのまま転送しちゃいます！"""
NpcComOnFailedCapture#4,"""捕獲失敗です。<br>範囲内から対象を逃がさないようにして<br>もう一度、挑戦してみましょう。"""
NpcComOnAttackTarget#4,"""おっと、現在の目標は捕獲ですよー！<br>捕獲対象への攻撃は、なるべーく<br>控えてもらえると嬉しいです！"""
NpcComOnDeadTarget#4,"""捕獲対象の反応、消失。<br>うーん、残念ですが仕方ありません。<br>次の機会を待ちましょう！"""
NpcComOnLastCapture#4,"""捕獲装置の使用回数、あと１回！<br>なので、次でずばっと<br>決めちゃいましょう！"""
