Title#0,"""逢魔に誘う幻惑の森"""
Explanation#0,"""異世界オメガ、クエントとヴェルンの<br>国境付近に突如、大きな森が出現しました。<br>森の出現に巻き込まれた人々を助けるため<br>ハリエットさんが森に向かったようです！<br>森の中からはダークファルスに似た反応も<br>観測されており、危険です！<br>ハリエットさんの救出に向かってください！<br>――――――――――――――――――――<br>失敗条件/任務の失敗"""
SimpleExplanation#0,"""¡Rescatar a Harriet!"""
NpcComMsg1#0,"""Los estaremos transfiriendo pronto. El propósito de está misión es rescatar a Harriet, la cual se encuentra en algún lugar de este bosque."""
NpcComMsg2#0,"""Hemos detectado parámetros de energía similares a un Dark Falz, así que esperamos mucha presencia Darker."""
NpcComMsg3#0,"""Este bosque es muy horripilante y misterioso. Además hay muchos puntos en los que los enemigos pueden emboscarte, ¡así que ten cuidado!"""
Area1S#0,"""Castillo abandonado - El bosque encantado"""
Area1L#0,"""Castillo abandonado - El bosque encantado"""
a1#0,"""Completa una cierta orden de cliente."""
a2#0,"""Completa una cierta orden de cliente."""
a3#0,"""Poseer una licencia Súper Hard."""
a4#0,"""Poseer una Licencia Súper Hard."""
