msq_012160_0105#0,"""Это было опасно. Спасибо."""
msq_012160_0010#0,"""Хорошо, что мы успели."""
msq_012160_0020#0,"""Хм?...<br>Сзади что-то есть."""
msq_012160_0030#0,"""Это... Похоже, это проход для транспортировки<br>полезных ископаемых."""
msq_012160_0040#0,"""Ясно. Похоже, что можно будет возобновить добычу."""
msq_012160_0050#0,"""Спасибо вам."""
msq_012160_0060#0,"""Похоже, мы справились с миссией."""
msq_012160_0070#0,"""Это точно.<br>Вернёмся в Ритем-Сити и доложим."""
name010#0,"""Аина"""
name020#0,"""Манон"""
name030#0,"""Рудокоп ARKS"""
