msc_012140_0010#0,"""……。"""
msc_012140_0020#0,"""Манон, что случилось?"""
msc_012140_0030#0,"""Вы..."""
msc_012140_0040#0,"""Извините меня...<br>Выходя из города, я увидело это место..."""
msc_012140_0050#0,"""Не уж то здесь..."""
msc_012140_0060#0,"""...Да, это надгробия.<br>Все наших ARKS."""
msc_012140_0070#0,"""В них занесены имена павших воинов."""
msc_012140_0080#0,"""………。"""
msc_012140_0090#0,"""Примерно тысяча человек в одном надгробии...<br>Думаю, это все."""
msc_012140_0100#0,"""Их... так много..."""
msc_012140_0110#0,"""Чтобы предотвратить увеличение количества занесёных<br>сюда имён людей... Я... Мы... верим в силу."""
msc_012140_0120#0,"""Я... должна стать сильнее."""
msc_012140_0130#0,"""………。"""
