Title#0,"""Бой с Дьявольским замком"""
Explanation#0,"""異世界オメガに存在する魔神城が活性化。<br>かの世界で戦乱が起こっています。<br>オメガへ向かい、魔神城を撃破しましょう。<br>魔神城の結界を突破するための兵器<br>「破界鎚」が鍵になる戦いですよ！<br>頑張りましょう、守護輝士！<br>――――――――――――――――――――<br>制限時間の経過でクエスト終了<br>敵の戦力ゲージを０にするか<br>制限時間経過時に残量が上回っていれば勝利"""
SimpleExplanation#0,"""Победите Дьявольский замок!"""
OnQuestBegin_0#0,"""Вражеские силы готовятся<br>к атаке!<br>Собирайте ману и выберите<br>наборы оружия!"""
OnQuestBegin_1#0,"""Если вы соберёте достаточно<br>маны, оружие ARKS усилится,<br>и мы сможем вызвать ещё<br>Бастер-копий!"""
OnDefencePhase1Start0#0,"""Обнаружены штурмовые силы<br>противника!<br>Соберите как можно больше маны,<br>защищая башни!"""
OnDefencePhase1Start1#0,"""Армия противника готовит очередной штурм!<br>По мере сбора маны наши башни будут восстанавливаться автоматически."""
OnDefencePhase1Start2#0,"""Враг начинает штурм!<br>Соберите больше маны, защищая<br>наши башни, чтобы они могли<br>начать восстановление."""
OnDefencePhase2Start0#0,"""Это ужасно! Штурмовые силы<br>противника начали продвигаться<br>к Бастер-башне!<br>Пожалуйста, оставьте все свои<br>дела, и помогите в защите!"""
OnDefencePhase2Start1#0,"""Вражеская армия готовится<br>к очередному штурму!<br>Пусть и мы прорвались через<br>стену, но если наши башни<br>разрушат, то мы не сможем<br>победить!"""
OnDefencePhase3Start0#0,"""Мощный сигнал исходит от Дьявольского замка!<br>Похоже, он планирует атаковать наши Бастер-башни!<br>Пожалуйста, остановите его!"""
OnDefencePhase3Start1#0,"""Мы засекли ещё один мощный сигнал<br>от Дьявольского замка!<br>Пожалуйста, защитите башни от<br>Дьявольского замка!"""
OnAttackPhase1Start0#0,"""Призваны Бастер-копья!<br>Сопроводите их, отбивая атаки,<br>чтобы разрушить стену!"""
OnAttackPhase1Start1#0,"""Призваны Бастер-копья!<br>Защитите Бастер-копья и<br>уничтожьте оставшиеся барьеры!"""
OnAttackPhase1Start2#0,"""Призваны Бастер-копья!<br>Давайте прорвёмся через барьеры!"""
OnAttackPhase2Start0#0,"""Мы успешно разрушили<br>все барьеры!<br>Осталось только победить<br>Дьявольский замок!<br>Атакуйте ядро!"""
OnAttackPhase2Start1#0,""Дьявольский замок переодчиески<br>выпускает лазер на Бастер-башни!<br>Пожалуйста, уничтожьте ядро<br>как можно скорее!"""
OnAttackPhase3Start0_0#0,"""Отправляйтесь к одной из двух<br>лестниц, чтобы атаковать<br>Дьявольский замок!"""
OnAttackPhase3Start0_1#0,"""Дьявольский замок начнёт<br>выпускать лазер через<br>определённые промежутки времени!<br>Поспешите и победите его!"""
OnAttackPhase3Start1#0,"""Ослабьте его защитный механизм<br>и атакуйте в слабую точку<br>Дьявольского замка!"""
OnDefencePhase1End0#0,"""Отражена вражеская атака!<br>Призываем Бастер-копья.<br>Пожалуйста, подготовьтесь<br>к выдвижению."""
OnDefencePhase1End1#0,"""Мы начнём призыв и будем<br>атаковать барьеры!<br>Собирайте ману, чтобы увеличить<br>колличество копий!"""
OnDefencePhase1End2#0,"""Призваны Бастер-копья!<br>Подготовьтесь к штурму!"""
OnAttackPhase1End0#0,"""Бастер-копья закончились, и<br>прибыли подкрепления противника!<br>Мы предполагаем, что враг снова<br>начнёт атаковать Бастер-башни,<br>поэтому, пожалуйста,<br>защитите их!"""
OnAttackPhase1End1#0,"""Бастер-копья пропали, и враг<br>готовится к очередной атаке!<br>Защитите Бастер-башни!"""
OnAttackPhase1End2#0,"""Бастер-копья уничтожены, и враг<br>снова посылает подкрепления!<br>Защитите Бастер-башни!"""
OnDefencePhaseEndByTimeOver#0,"""Армия врага изменила стратегию!<br>Будьте осторожны!<br>Некоторые из них похожи на<br>камикадзе!"""
OnDefencePhaseEnemyDecrease0#0,"""Силы врага ослабевают!<br>Давайте разберёмся с ними!"""
OnDefencePhaseEnemyDecrease1#0,"""Осталось всего немного!<br>Ещё чуть-чуть!"""
OnWaveHapping#0,"""Получаем странные сигналы<br>Дьявольского замка!<br>Кажется, он собирается<br>атаковать!<br>Пожалуйста, будьте настороже!"""
