name_7432#0,"""シャンプラン"""
ssn_014730_0001#0,"""Hm? You a Meteorn?"""
ssn_014730_0002#0,"""What do you want?"""
ssn_014730_0101#0,"""Brrr... Freezing! They expect people to work like this?!"""
ssn_014730_0102#0,"""... Huh? What's your deal, pal? Got business with me?"""
ssn_014730_0103#0,"""Am I okay...? You seriously askin' me that right now?"""
ssn_014730_0104#0,"""What the hell kinda question is that? I'm out here bustin' my ass, and what does my boss say?"""
ssn_014730_0105#0,"""He just tells me to deal with it. Get these requested items here, take out the Formers there..."""
ssn_014730_0201#0,"""Listen, if you're really doin' this, make sure you got everything you need!"""
ssn_014730_0202#0,"""I ain't takin' the blame if you end up catching a cold or something."""
ssn_014730_0301#0,"""So yeah, I'm doin' just peachy. Just leave me alone, alright?"""
ssn_014730_0401#0,"""Hey, uh... thanks for takin' care of that mission for me."""
ssn_014730_0402#0,"""I mean, I coulda done it myself if I put my mind to it, it's just..."""
ssn_014730_0403#0,"""It's so damn cold I can barely move."""
ssn_014730_0404#0,"""I bet you're wondering why I joined this vanguard if I can't handle the cold, right?"""
ssn_014730_0405#0,"""Yeah well, I didn't think it'd be THIS freakin' cold! It's my first time here, how was I supposed to know?!"""
ssn_014730_0406#0,"""And... I figured there wouldn't be very many Meteorn up here."""
ssn_014730_0407#0,"""Anyways, enough about me. I gotta do some repairs on this tent."""
ssn_014730_0408#0,"""I've got my plate full as it is, I don't have time to sit around and chat."""
ssn_014730_0409#0,"""Later."""
ssn_014730_1001#0,"""What? You still need somethin'?"""
ssn_014730_1002#0,"""Come again? You want to take some stuff off my plate?"""
ssn_014730_1003#0,"""Pretty sure your plate's even fuller than mine..."""
ssn_014730_1004#0,"""Well, if you're offering... then, yeah, I'd appreciate it."""
ssn_014730_1101#0,"""Can you get me some Blizzardium?"""
ssn_014730_1102#0,"""It gets way colder out there when it's snowing, so be careful out there."""
ssn_014730_1201#0,"""...Yeah, I figured. Oh well, I'll figure something out."""
ssn_014730_1301#0,"""Thanks for the Blizzardium."""
ssn_014730_1302#0,"""Just lemme get these scanned real quick."""
ssn_014730_1303#0,"""...Say, why're you doin' all this? Takin' care of my missions for me and stuff?"""
ssn_014730_1304#0,"""You think I'm unreliable or something? You think I ain't up to the job?"""
ssn_014730_1305#0,"""Or maybe you just wanna show off your Meteorn strength?"""
ssn_014730_1306#0,"""...You know what, never mind."""
ssn_014730_1307#0,"""Oh, data scan's done. Here, you can have these back."""
ssn_014730_1308#0,"""Anyways, thanks again. You really helped me out."""
ssn_014730_2001#0,"""I, uh... just got a request to take out some enemies and to record the combat data."""
ssn_014730_2002#0,"""It's a lot of enemies, too. Pain in the ass, am I right?"""
ssn_014730_2003#0,"""What? I mean yeah, it'd be great if you could take care of it, but..."""
ssn_014730_2101#0,"""The targets are the night-time Alters."""
ssn_014730_2102#0,"""If it's too much to ask, just say so, alright?"""
ssn_014730_2201#0,"""...Yeah, oh well. I'll figure something out."""
