name_7432#0,"""โรอัลด์"""
ssn_014900_0001_001#0,"""ฟู่ เป็นตัวอันตรายจริงๆ ด้วยแฮะ จัดการพวกตัวน่ารำคาญซะเรียบเหมือนไม่มีอะไรเกิดขึ้นเลย"""
ssn_014900_0001_002#0,"""บอกตรงๆ นะ ฉันไม่เห็นเลยว่าเธอจะได้อะไรจากการมาช่วยฉันแบบนี้"""
ssn_014900_0001_003#0,"""แค่ช่วยเพราะความใจดีงั้นเหรอ? ให้ตายสิ ฉันไม่เข้าใจพวก Meteorn เลยจริงๆ"""
ssn_014900_0001_004#0,"""เอาจริงๆ ฉันไม่เคยไว้ใจพวกเธอเลยนะ"""
ssn_014900_0001_005#0,"""ตกมาจากฟ้าเหมือนพวก DOLLS แล้วก็เต็มไปด้วยปริศนาพอๆ กับพวกมันอีก"""
ssn_014900_0001_006#0,"""จริงๆ นะ เมื่อก่อนฉันเคยคิดด้วยซ้ำว่า Meteorn อาจจะแอบร่วมมือกับ DOLLS หรืออะไรแบบนั้น"""
ssn_014900_0001_007#0,"""แต่... เริ่มคิดแล้วล่ะว่าอาจจะพอไว้ใจได้บ้างสักนิดล่ะนะ..."""
ssn_014900_0001_008#0,"""......"""
ssn_014900_0001_009#0,"""ไม่ล่ะ ไม่เข้าใจเอาซะเลย"""
ssn_014900_0001_010#0,"""โทษที ลืมที่พูดไปเมื่อกี้เถอะ"""
ssn_014900_0001_100#0,"""จนถึงตอนนี้ก็ยังไม่ค่อยประทับใจพวก Meteorn เท่าไหร่นะ"""
ssn_014900_0001_101#0,"""แต่พอได้คุยด้วยแล้ว... ชักจะสับสนไปหมดแล้วแฮะ"""
ssn_014900_0001#0,"""ฟังนะ โทษทีเรื่องก่อนหน้านี้ด้วย ที่พูดอะไรแปลกๆ ออกไปน่ะ"""
ssn_014900_0002#0,"""งั้นก็ เอ่อ..."""
ssn_014900_0003#0,"""ตอนนี้กำลังลำบากอยู่อีกแล้วล่ะสิ ต้องไปเก็บข้อมูลวัตถุดิบทำอาหารน่ะ"""
ssn_014900_0101#0,"""อยากให้ไปหา Sharp Kvar Squid มาให้หน่อย อยากได้ข้อมูลของมันน่ะ"""
ssn_014900_0102#0,"""หน้าตาพวกมันจะคล้ายๆ กับตัวที่เจอตอนกลางคืนนะ อย่าหยิบมาผิดล่ะ"""
ssn_014900_0201#0,"""อาฮะ เข้าใจแล้วล่ะ เธอก็ยุ่งเหมือนกันนี่เนอะ ไม่เป็นไร จัดการเองได้น่า"""
ssn_014900_0301#0,"""ขอบใจอีกครั้งนะ ช่วยได้เยอะเลย ขอสแกนแป๊บนึงนะ..."""
ssn_014900_0302#0,"""นี่ ฉันมีโอกาสได้คุยกับ Meteorn คนอื่นๆ แถวนี้เพิ่มขึ้นด้วยนะ"""
ssn_014900_0303#0,"""พวกเขาก็คอยช่วยทำนู่นทำนี่อยู่ตลอดเลย"""
ssn_014900_0304#0,"""...พวก Meteorn นี่เป็นแบบนั้นกันตลอดเลยสินะ"""
ssn_014900_0305#0,"""เรื่องที่คนของ Halpha อย่างพวกเราต้องดิ้นรนแทบตาย แต่พวกเธอกลับทำเหมือนเป็นเรื่องง่ายๆ"""
ssn_014900_0306#0,"""ขนาด Meteorn ที่ดูงุ่มง่ามแล้วก็พึ่งพาไม่ได้ที่สุด แค่ส่งอาวุธให้ ผ่านไปอาทิตย์นึงก็เก่งกว่าทหารผ่านศึกของพวกเราซะอีก"""
