name_7710#0,"""Ruslan"""
ssn_014470_0001#0,"""บังเอิญว่าคุณมาจาก Aelio หรือเปล่า?"""
ssn_014470_0002#0,"""...งั้นเหรอ แสดงว่ารู้จัก Garoa สินะ!"""
ssn_014470_0003#0,"""Garoa เคยช่วยฉันไว้มากในอดีต"""
ssn_014470_0004#0,"""...ใช่ เขาเป็น ARKS ที่ยอดเยี่ยมมาก ทั้งแข็งแกร่ง กล้าหาญ และเป็นผู้นำโดยธรรมชาติ ทุกคนต่างก็ชื่นชมเขา"""
ssn_014470_0005#0,"""นั่นแหละคือเหตุผลที่ฉันไม่อยากเชื่อข่าวเลย ไม่มีทางที่เขาจะ..."""
ssn_014470_0006#0,"""..."""
ssn_014470_0007#0,"""จริงๆ แล้วฉันเพิ่งได้เจอลูกสาวของเขา Aina ด้วยนะ ถ้าพวกคุณมีปัญหาอะไร ฉันยินดีจะช่วยเหลือเสมอ"""
ssn_014470_0101#0,"""คุณเคยไป Tower ของ Retem มาหรือยัง?"""
ssn_014470_0102#0,"""Garoa เคยเข้าไปท้าทายมันมาแล้ว และแน่นอนว่าเขาเคลียร์มันได้สำเร็จ"""
ssn_014470_0103#0,"""แต่รู้ไหม เขาบอกว่ามันยากกว่า Tower ของ Aelio อีกนะ"""
ssn_014470_0104#0,"""คิดว่ายังไงล่ะ? คิดว่าจะลองท้าทายด้วยตัวเองดูไหม?"""
ssn_014470_0201#0,"""สิ่งสำคัญคืออย่าฝืนตัวเองมากเกินไป"""
ssn_014470_0202#0,"""...Garoa เคยพูดเอาไว้น่ะนะ แต่ฉันพูดเหมือนเป็นคำพูดตัวเองซะงั้น ฮ่าๆ..."""
ssn_014470_0203#0,"""เอาล่ะ ขอให้โชคดีนะ"""
ssn_014470_0301#0,"""อ้อ เข้าใจแล้ว ถ้าตัดสินใจจะท้าทายเมื่อไหร่ก็มาเรียกฉันได้เลยนะ"""
ssn_014470_0401#0,"""ฉันเองก็ต้องพยายามเหมือนกัน เพื่อที่สักวันจะเป็น ARKS แบบ Garoa ให้ได้..."""
ssn_014470_0402#0,"""ขอบคุณสำหรับทุกอย่างนะ คุณเป็นแรงบันดาลใจที่ดีมากเลย"""
