name_7418#0,"""Беркман"""
ssn_011100_001_0010#0,"""Централ-Сити, хорошее же место?"""
ssn_011100_001_0020#0,"""Поднимитесь в солнечную погоду на стену,<br>и перед вами раскроется прекрасный вид."""
ssn_011100_001_0030#0,"""Кстати говоря, как у вас сейчас по времени?<br>Я хотел бы о кое-чём попросить."""
ssn_011100_001_0035#0,"""Что ж, не могли бы вы меня выслушать?"""
ssn_011100_001_0040#0,"""В Эарио много гор, согласись.<br>Раньше я часто лазил по ним."""
ssn_011100_001_0050#0,"""Раньше я был ARKS и сражался на передовой<br>с DOLLS, но получил ранения..."""
ssn_011100_001_0060#0,"""Теперь я работаю в городе."""
ssn_011100_001_0070#0,"""По некоторым причинам в последнее время моя занятость возросла,<br>и у меня всё меньше шансов выйти за пределы города."""
ssn_011100_001_0080#0,"""Так что, думаю, когда такая возможность появится, я хотел<br>бы посетить место, где был давным-давно."""
ssn_011100_001_0090#0,"""Вы же, выбираетесь по своим делам в разные места?<br>Не могли бы вы подняться на гору и прислать мне пейзаж данными?"""
ssn_011100_001_0100#0,"""Ну, в свободное время же можете. Прошу вас."""
ssn_011100_001_0110#0,"""Ясно... вы заняты. Тогда я попрошу вас в следующий раз."""
