name_7418#0,"""Беркман"""
ssn_013090_0001#0,"""О, так это вы. Как дела?"""
ssn_013090_0002#0,"""Я дорожу теми данными, что вы мне передали."""
ssn_013090_0101#0,"""Даров. У вас найдётся время?"""
ssn_013090_0102#0,"""Просто, я хотел бы о кое-чём вас попросить."""
ssn_013090_0201#0,"""Ясно... Если будет возможность, дайте мне знать."""
ssn_013090_0301#0,"""Вспоминая за горы и море, я подумываю о кое-чём ещё."""
ssn_013090_0302#0,"""Кстати, мне тут вспомнилось болото, что находится неподалёку."""
ssn_013090_0303#0,"""Это мирное место, но во время сражения можно увязнуть, и,<br>честно говоря, у меня не много хороших воспоминаний о нём..."""
ssn_013090_0304#0,"""Но, честно говоря, я хочу вернуться туда из чувтсва ностальгии."""
ssn_013090_0305#0,"""Не могли бы вы как обычно отправить мне данные из этого места?"""
ssn_013090_0306#0,"""Ничего страшного, если вам потребуется время. Прошу вас."""
