name_7418#0,"""Беркман"""
ssn_012100_0001#0,"""О, это вы. Как ваши дела?"""
ssn_012100_0002#0,"""Я дорожу теми данными, что вы мне передали."""
ssn_012100_0101#0,"""Даров. У вас найдётся время?"""
ssn_012100_0102#0,"""Просто, я хотел бы о кое-чём вас попросить."""
ssn_012100_0050#0,"""Ранее вы же собирали данные на горах."""
ssn_012100_0060#0,"""Я смотрел на них все эти дни, и воспоминания о прошлом ожили."""
ssn_012100_0070#0,"""Мне хотелось бы увидеть вид на море."""
ssn_012100_0080#0,"""Я не только сражался, но и плавал с друзьями,<br>строил Централ-Сити из песка... и тому подобное."""
ssn_012100_0090#0,"""Если вас не затруднит, не могли бы вы прислать<br>мне данные указанного здесь места?"""
ssn_012100_0100#0,"""Просто, мимо пробегая... Прошу вас."""
ssn_012100_0201#0,"""Ясно... Если будет возможность, дайте мне знать."""
