Title#0,"""파이터의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 트윈 대거 기어 훈련<br>과제 2: 더블 세이버 기어 훈련<br>과제 3: 너클 기어 훈련<br>과제 4: 브레이브 스탠스 사용<br>과제 5: 와이즈 스탠스 사용<br>과제 6: 실전 훈련"""
SimpleExplanation#0,"""6개의 과제를 달성하라!"""
Training1#0,"""기어를 모아 포톤 아츠를 발동한다"""
Training2#0,"""기어를 모아 카마이타치를 발동한다"""
Training3#0,"""기어를 최대로 모은다"""
Training4#0,"""브레이브 스탠스로 적을 격파한다"""
Training5#0,"""와이즈 스탠스로 적을 격파한다"""
Training6#0,"""적을 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
