Title#0,"""포스의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 테크닉 저스트 어택<br>과제 2: 연속 테크닉 저스트 어택<br>과제 3: 차지 테크닉 저스트 어택<br>과제 4: 탈리스 사용<br>과제 5: 실전 훈련"""
SimpleExplanation#0,"""5개의 과제를 달성하라!"""
Training1#0,"""저스트 어택 테크닉을 성공시킨다"""
Training2#0,"""테크닉으로 연속 저스트 어택"""
Training3#0,"""차지 테크닉으로 저스트 어택"""
Training4#0,"""탈리스를 설치해 차지 테크닉 사용"""
Training4_1#0,"""모든 에너미를 동시에 공격한다"""
Training5#0,"""에너미를 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
