Title#0,"""다크 블래스트의 기초"""
Explanation#0,"""과제 1: 다크 블래스트 사용<br>과제 2: 연속 공격 사용<br>과제 3: 마신벽 파괴<br>과제 4: 다크니스 월 사용<br>과제 5: 얼티메이트 임팩트 사용<br>과제 6: 실전 훈련"""
SimpleExplanation#0,"""6개의 과제를 달성하라!"""
Training1#0,"""다크 블래스트를 사용한다"""
Training2#0,"""일반 공격 3단째를 에너미에게 맞힌다"""
Training2_1#0,"""일반 공격 5단째를 에너미에게 맞힌다"""
Training3#0,"""PA로 마신벽을 파괴한다"""
Training4#0,"""다크니스 월로 공격을 막는다"""
Training5#0,"""얼티메이트 임팩트를 사용한다"""
Training6#0,"""에너미를 섬멸한다"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
