Title#0,"""듀얼 블레이드의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 듀얼 블레이드 무기 액션 훈련<br>과제 2: 듀얼 블레이드 기어 훈련<br>과제 3: 실전 훈련<br><br>※기어 상승률은 훈련용으로 조정되어<br>\u3000\u3000실제 수치와 다릅니다."""
SimpleExplanation#0,"""3개의 과제를 달성하라!"""
Training4_1#0,"""패리로 에너미의 공격을 막는다"""
Training4_2#0,"""스텝 엣지를 에너미에게 맞힌다"""
Training6_1#0,"""에너미를 공격해 기어를 모은다"""
Training6_2#0,"""커넥트를 에너미에게 사용한다"""
Training6_3#0,"""풀 커넥트를 에너미에게 사용한다"""
Training9_2#0,"""에너미를 모두 토벌하라!"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
Retry_7#0,"""과제 7"""
Retry_8#0,"""과제 8"""
Retry_9#0,"""과제 9"""
Retry_10#0,"""과제 10"""
