Title#0,"""더블 세이버의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 더블 세이버 기어 훈련<br>과제 2: 더블 세이버 무기 액션 훈련<br>과제 3: 더블 세이버 고유 스킬 사용<br>과제 4: 실전 훈련<br><br>※기어 상승률은 훈련용으로 조정되어<br>\u3000\u3000실제 수치와 다릅니다."""
SimpleExplanation#0,"""4개의 과제를 달성하라!"""
Training1_1#0,"""에너미를 공격해 기어를 모은다"""
Training1_2#0,"""에너미의 공격을 받는다"""
Training1_3#0,"""인핸스 어택을 사용한다"""
Training2_1#0,"""카운터 공격을 에너미에게 맞힌다"""
Training2_2#0,"""디플렉트 콤보를 맞힌다"""
Training3_1#0,"""방향을 입력하며 PA를 사용한다"""
Training3_2#0,"""방향 입력 없이 PA를 사용한다"""
Training3_3#0,"""퀵 테이크를 에너미에게 맞힌다"""
Training9_2#0,"""에너미를 모두 토벌하라!"""
Retry_1#0,"""과제 1"""
Retry_2#0,"""과제 2"""
Retry_3#0,"""과제 3"""
Retry_4#0,"""과제 4"""
Retry_5#0,"""과제 5"""
Retry_6#0,"""과제 6"""
Retry_7#0,"""과제 7"""
Retry_8#0,"""과제 8"""
Retry_9#0,"""과제 9"""
Retry_10#0,"""과제 10"""
