name01#0,"""시에라"""
text01#0,"""<red>체인 트리거<c>에 대해<br>설명 드릴게요!"""
text02#0,"""체인 트리거 발동중에는<br>통상공격의 히트 수가 카운트되면서<br>체인 수가 증가해요."""
text03#0,"""체인 수를 모아, 포톤 아츠나<br>차지 테크닉을 맞추면<br><red>체인 피니쉬!<c>"""
text04#0,"""<red>체인 수에 따라<br>큰 데미지<c>를 줄 수 있어요!"""
text05#0,"""그럼, 체인 수를 10 이상 채워서<br>체인 피니쉬로<br>마무리해 봐요."""
text101#0,"""과제3：<yellow>체인을 10 이상 채운 뒤 체인 피니쉬"""
train_title#0,"""과제3：<yellow>체인을 10 이상 채운 뒤 체인 피니쉬"""
tut_title#0,"""『체인 피니쉬』에 관하여"""
text100#0,"""・서브팔레트에서 체인 트리거 발동<br>・통상공격을 맞춰 체인 수 쌓기<br>・<%PhotonArts>로 포톤 아츠를 맞추면 체인 피니쉬"""
text100_3b#0,"""・서브팔레트에서 체인 트리거 발동<br>・통상공격을 맞춰 체인 수 쌓기<br>・<%PhotonArts>로 포톤 아츠를 맞추면 체인 피니쉬"""
tut_win_title#0,"""『체인 피니쉬』에 관하여"""
tut_win_text100#0,"""체인 트리거 발동중<br>통상공격의 히트 수가 카운트되어<br>체인 수가 증가합니다.<br><br>스킬 사용자가 PA 혹은 차지<br>테크닉을 히트시키면<br>체인 피니쉬가 됩니다.<br><br>체인 피니쉬 중에는<br>체인 수에 따라<br>주는 데미지가 증가합니다."""
