name01#0,"""시에라"""
text01#0,"""이어서, <red>소드 기어<c>에  대해<br>설명 드릴게요!"""
text02#0,"""소드 기어는 단계가 오를수록<br><red>포톤 아츠 강화나 차지 시간<br>단축<c> 등의 효과를 얻을 수 있어요!"""
text03#0,"""그럼, <red>기어를 2단계 이상<c>으로 올린 뒤<br>포톤 아츠를 써 보도록 해요."""
text101#0,"""과제3：<yellow>기어를 2단계 이상 올린 뒤 포톤 아츠 발동"""
train_title#0,"""과제3：<yellow>기어를 2단계 이상 올린 뒤 포톤 아츠 발동"""
tut_title#0,"""소드 기어에 관하여"""
text100#0,"""・에너미를 공격해 기어 2단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
text100_3b#0,"""・에너미를 공격해 기어 2단계 이상 올리기<br>・<%PhotonArts>로 포톤 아츠 발동"""
tut_win_title#0,"""『소드 기어』에 관하여"""
tut_win_text100#0,"""클래스 스킬「소드 기어」를<br>습득하면  소드의 성능을<br>한 층 더 끌어올릴 수 있습니다.<br><br>공격을 통해 기어2, 기어3으로<br>상승합니다.<br><br>소드 기어의 단계가 상승하면 <br>포톤 아츠 강화나 차지 시간<br>단축 등의 효과를 얻을 수 있습니다."""
